"","ProlificID","ResponseId","Score","Gender","Age","Ethnicity","Education"
"1","61030f5dbce8843411a01c3d","R_2eqOCCSUdgRqZev",7,"Female","28","White or Caucasian","Bachelor’s degree"
"2","5fbe42c891f04a32f38807a4","R_1Fb8Bh5oE7bJDQ7",8,"Female","38","White or Caucasian","Bachelor’s degree"
"3","661bf01e5d048f1fe3d827c2","R_3YigH5tr9r2V9jk",3,"Male","67","Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"4","66339ebcf7e65840259235ab","R_1dAPtR1vLkUx704",5,"Female","39","Other","Associates or technical degree"
"5","611c1cf68a3a6fc487b01d82","R_5gLxQVVh3CtJFVD",6,"Male","35","White or Caucasian","Associates or technical degree"
"6","661f775070e92e0410c20865","R_2E1S7QTxCbQgcF3",2,"Male","31","Black or African American","Bachelor’s degree"
"7","661ec105e3a3646adf4e6144","R_6kHE1HjKthIuOoi",5,"Male","62","Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"8","657de70becfb771d9652c7e3","R_1fe9Mv9wFLmrKJc",2,"Female","25","Other","Associates or technical degree"
"9","6633c311703042597d0c74ef","R_3NszQChlm5gTO4p",5,"Female","27","White or Caucasian","Some college, but no degree"
"10","660ea5c01a54c266cc7a3f5f","R_5B51yy4xJ90xdmw",6,"Female","34","White or Caucasian","Bachelor’s degree"
"11","6634fa6d07f5415b2011e54e","R_1LCkMQBVHI6Aibs",6,"Male","40","White or Caucasian","Bachelor’s degree"
"12","65c20d819c893363dae6db82","R_23j3ruYwXgzjbsR",5,"Male","23","Asian","Bachelor’s degree"
"13","5fd14598fd2de30f5eea2fc4","R_3dH2k112Xk6dWRN",6,"Female","71","White or Caucasian","Some college, but no degree"
"14","5b21f6f6648d5b0001b7c648","R_2Q4vlQIvV6v6TFx",7,"Male","31","White or Caucasian","High school diploma or GED"
"15","662eb858a2234c5ea6f02bdb","R_5fcCzp295sMdSJd",5,"Female","36","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"16","6630e228a0617e7dc826162f","R_6oiLnikPO5hwF36",2,"Female","40","White or Caucasian","Associates or technical degree"
