"","ProlificID","ResponseId","Condition","QID10","QID11","QID12","QID13","QID14","QID15","QID16","QID17","QID18","QID19","Guess","Gender","Age","Ethnicity","Education","count"
"1","5d1283351716480017019be7","R_1lcUfwyzi3rCl8O","Low","54 feet","x = -2","x15","13","2.07","-34","6","63°","-3","4x2 + 16x + 48",5,"Female",32,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",6
"2","6526ce4262f3620572961085","R_2ZUlJmtTHpKECfw","Low",NA,"x = -2","x15","13",NA,NA,NA,NA,NA,NA,2,"Female",40,"White or Caucasian","Associates or technical degree",3
"3","63e534e8ae837950bc60d88b","R_0fiTBoIUxOKcLWV","Low","113 feet","y = -2","x15","13","2.06",NA,NA,NA,NA,NA,4,"Male",30,"Asian","Bachelor’s degree",4
"4","6564a92654cca521c9d81e4a","R_3iJ9n1yyS9WQKIF","High","113 feet","x - 2 = y","x15","13","2.060154","14","8","117°","-3","4x2 + 16x + 16",5,"Female",71,"Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",3
"5","611422d77a092e25de5b1bca","R_3Rt5Abj3R9YaW7T","High","113 feet","x = -2y","x15","13","5.05","-22","6","63°","-6","4x2 + 16x + 48",5,"Female",63,"White or Caucasian","Bachelor’s degree",5
"6","655790bd05279f9c3e10c007","R_R9aTBrhWY0e9Jhn","High","54 feet","x = -2","x15","13",NA,NA,NA,NA,NA,NA,4,"Male",51,"Black or African American","Bachelor’s degree",3
"7","654e55aaa6d9987cb675cb2c","R_3OqaAjgE9aa1Z8X","Low","54 feet","x = -2y","x15","11","5.05","-34","6","63°","3","4x2 + 32x + 48",5,"Male",63,"Black or African American","Bachelor’s degree",6
"8","655a8779b6b320720bad2814","R_27yCrVTzlsCtrBp","High","113 feet","x = -2y",NA,"13","5.05","-22","8","117°","3","4x2 + 16x + 48",5,"Female",69,"Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",3
"9","656dc70f0cd8f24c7152e08a","R_3fr7RobteKjrGyH","Low","113 feet","x = -2y","x25","13","5.05","-34","6","180°","3","4x2 + 32x + 48",3,"Male",63,"Black or African American","Bachelor’s degree",6
"10","654e434ae05e35d574cecf05","R_2dLqBk0xs3u1PyX","High","36 feet","x = -2","x8","13",NA,"-34","6","180°","3","4x2 + 32x + 48",5,"Female",65,"Black or African American","Bachelor’s degree",6
"11","6558f5cd0b526b963e4e5a90","R_DCAz2OERYRGDTqh","Low","113 feet","x = -2",NA,NA,NA,NA,NA,NA,NA,NA,2,"Male",64,"Black or African American","Some college, but no degree",2
"12","60e5e4a8f7dedf082efd5af9","R_2xLypYghgCbYuJs","Low","54 feet","x = -2y","x15","13","5.05","-34","6","63°","6","4x2 + 16x + 16",2,"Female",56,"White or Caucasian","Bachelor’s degree",5
"13","6454023a00d29eb604027c8f","R_3plOlWzTkF4OTkB","High","36 feet","x = -2y","x15","9","2.060154","42","10","117°","-6","4x2 + 16x + 16",1,"Female",59,"White or Caucasian","Associates or technical degree",1
"14","655c9eb6350be3de2c9f155e","R_22rUc0qencLGLI8","High","113 feet","x - 2 = y","x8","13","2.060154","42","6","117°","-3","4x2 + 16x + 16",3,"Female",66,"Black or African American","Bachelor’s degree",3
"15","601aa8b45608d83083ff9211","R_cT3ZrFICEBOwpYl","High",NA,NA,NA,"13","2.07","-22","6","63°","3","4x2 + 32x + 48",4,"Female",21,"White or Caucasian","High school diploma or GED",5
"16","604eb32b7405f25e90f5acce","R_28SX4HJoJlfQoCi","High","113 feet","x = -2","x8","13","2.06","-34","6","63°","3","4x2 + 32x + 48",8,"Male",25,"Asian","Bachelor’s degree",9
"17","5d5daa0457be9400014544ab","R_3yK2Ko2mvdv5eyB","Low","113 feet","x = -2","x15","11","2.060154","-22","12","180°","-3","4x2 + 32x + 48",3,"Female",33,"White or Caucasian","Associates or technical degree",4
"18","64f4ffad72a823ca4a654585","R_2CJr1T207otxEZk","Low","113 feet",NA,"x15","13","2.06","-34",NA,NA,NA,NA,4,"Female",35,"Asian","Some college, but no degree",5
"19","656895a927e7b2f8ccd33dbb","R_2AX3QX5tUpeGxCV","High","108 feet","x = -2","x15","13","5.05","-34","6","63°","-3","4x2 + 32x + 48",4,"Female",43,"Other","Associates or technical degree",7
"20","61084cf97f6981fb1f90683e","R_3rVzbnpiayufIEP","Low","54 feet","x = -2y","x15","13","2.06","-34","6","63°","6",NA,4,"Female",24,"White or Caucasian","Some college, but no degree",7
"21","653efdb0f60588dbb6c205cf","R_11ZN7CMVEwIIKhH","High","54 feet","x = -2y","2x5","11","5.05","42","8","180°","-3","4x2 + 16x + 48",5,"Male",40,"Black or African American","Bachelor’s degree",0
"22","64db6562e5551a2f0b277fe1","R_3EWu5Va20Jm5WEk","Low","113 feet","x - 2 = y","x15","13","2.06","-34","6","117°","3",NA,7,"Male",54,"Black or African American","Bachelor’s degree",7
"23","65628f277bcd810f66b36764","R_A57tzEWOLTpzqYV","High","108 feet","x - 2 = y","x15","13","2.06",NA,NA,NA,NA,NA,4,"Female",43,"Asian","Bachelor’s degree",3
"24","6560d46c513110ff4ae5d0c5","R_33ajuN7ACfy0t93","High","54 feet","x = -2y","x15","11","2.06","-22","8","180°",NA,NA,4,"Female",33,"Black or African American","Bachelor’s degree",2
"25","63d68e4f60c155f4f1fd9681","R_1JPjD5ueVlItYno","High","113 feet","x = -2","x8","15","2.060154","-34","12","63°",NA,NA,4,"Male",32,"Black or African American","Bachelor’s degree",4
"26","656cab209b8a5cc866d7c808","R_1CCjthvP64fsEiQ","High","36 feet","x = -2","x15","9","2.06","14","12","117°","6","2x2 + 7x + 24",1,"Female",55,"White or Caucasian","High school diploma or GED",3
"27","654e3c8cc3afc7374425fe78","R_2P0fxKaTlTLesUd","Low","113 feet","x = -2","x15","13","2.060154","-22","6","63°","-6","4x2 + 32x + 48",2,"Male",71,"Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",7
"28","650b6c4babc7aa25099a457d","R_3m1tPkpG0YAZT6A","Low","113 feet","x = -2y","x25","13","2.07",NA,NA,NA,NA,"4x2 + 32x + 48",4,"Male",54,"Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",3
"29","65602c23bb03869d53e76a34","R_2ZDDplQcZ7kEGwN","Low","113 feet","x = -2y","x15","13","5.05","-34","6","63°","3","4x2 + 32x + 48",5,"Female",27,"Asian","Bachelor’s degree",8
"30","654e5bcb8cb6aeb8ca9b33a0","R_3G8jv2t7BVAKErC","High","113 feet","x = -2y","x15","11","2.060154","42","8","63°","3","4x2 + 32x + 48",8,"Male",44,"White or Caucasian","Bachelor’s degree",5
"31","6450ee577358c55508e77ff3","R_3m4Yg3Oreru106d","High","113 feet","x = -2y","x8","13","5.05","-34","6","117°","-3","4x2 + 32x + 48",5,"Female",63,"Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",5
"32","6554d37b930cdddd5d185854","R_2uVXuncknpg0IjM","High","113 feet","x = -2","2x5","13","5.05","14","6","63°","6","2x2 + 7x + 24",4,"Male",69,"Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",5
"33","555d0683fdf99b3fde8fd4e4","R_3NXsvkwq7LOxJIO","Low","36 feet","x - 2 = y","x15","13","2.06","42","8","297°","-6","4x2 + 16x + 48",0,"Female",58,"White or Caucasian","High school diploma or GED",3
"34","63e6a210aed5ff20a7f66025","R_BMx5M4kM7oCyn4t","High","113 feet","x - 2 = y","x25",NA,"2.06","-22","6","117°","-6","4x2 + 32x + 48",2,"Male",29,"Black or African American","Bachelor’s degree",4
