"","PROLIFIC_PID","Guess","default","Score","Age","Gender","Ethnicity","Education"
"1","604db6324496c57afe822770",0,"Low",5,"45","Female","Asian","Bachelor’s degree"
"2","66462e5a0a965c4190374d88",0,"High",5,"28","Female","White or Caucasian","Bachelor’s degree"
"3","66462d867fe1025286613561",1,"Low",4,"21","Male","White or Caucasian","Associates or technical degree"
"4","5ceef17d410beb0001e40023",0,"Low",4,"29","Female","Other","Associates or technical degree"
"5","614aa4f77490094923069e75",1,"High",5,"22","Male","Other","Some college, but no degree"
"6","615a246b9484d07bb01d0724",1,"High",7,"44","Male","Black or African American","Bachelor’s degree"
"7","5edc0b5819fa7f8ba7567231",0,"Low",6,"23","Female","Asian","Bachelor’s degree"
"8","664618e6f6c113081e97a049",0,"Low",5,"21","Female","Asian","Bachelor’s degree"
"9","6622ac5eeb96ef36c7123167",1,"Low",7,"24","Female","White or Caucasian","Bachelor’s degree"
"10","6127072ecbce58c5df452c58",0,"High",3,"75","Female","White or Caucasian","High school diploma or GED"
"11","6644f40c3117b782ed4ff39d",0,"High",6,"21","Female","Asian","Some college, but no degree"
"12","63d43839677cd9a315302808",0,"Low",4,"19","Male","Black or African American","Some college, but no degree"
"13","663a4e1681e0f2cf8c910eb0",1,"High",3,"61","Female","Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"14","5d5c59e8ca6a070018fb8c5e",0,"Low",2,"31","Male","White or Caucasian","Associates or technical degree"
"15","5e9f138c34d3e40326507588",1,"Low",3,"38","Female","Asian","Some college, but no degree"
"16","61496cada4d62f06804fa610",0,"High",7,"22","Female","White or Caucasian","Bachelor’s degree"
"17","6638cec62a2c194dbee4e80a",1,"High",3,"66","Male","Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"18","657a3e928a5bd029366a6692",1,"High",5,"65","Female","White or Caucasian","Associates or technical degree"
"19","6476122c3edb0289e7d0efb2",0,"Low",2,"56","Male","Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"20","5ec70d2d62e69c157fde4884",1,"Low",8,"24","Male","White or Caucasian","Associates or technical degree"
"21","663508c0cd223a44bc85f5f7",1,"High",3,"38","Female","Other","High school diploma or GED"
"22","5e88fe6f9fb1af0009d1294a",0,"Low",5,"47","Female","Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"23","655fdcd5ddf0c9decedc6aa1",1,"High",6,"30","Female","Asian","Some college, but no degree"
"24","65c14be50ad597a9eb201591",0,"Low",7,"38","Female","Black or African American","Associates or technical degree"
"25","66304be4df26f954ad764f52",1,"High",8,"26","Female","White or Caucasian","Bachelor’s degree"
"26","65958afd5a45f68375c3ec15",1,"High",5,"58","Female","White or Caucasian","Some college, but no degree"
"27","5e8dd293b7dd310583dd2b41",0,"Low",6,"59","Female","White or Caucasian","Bachelor’s degree"
"28","664595c663d73d4c31647e63",0,"High",6,"26","Female","Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"29","65d12ecd4cc6c59fac41ac7d",0,"Low",5,"26","Female","Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"30","653ac482f1c82326343e55f8",0,"High",8,"51","Male","White or Caucasian","Bachelor’s degree"
"31","60f942bbd779c8d0f7cc3a99",1,"High",5,"39","Female","White or Caucasian","High school diploma or GED"
"32","663b1d689aa0798a42c49d90",0,"Low",4,"34","Female","White or Caucasian","Bachelor’s degree"
"33","60d3370ae32bc81e9f0c6279",1,"High",4,"61","Female","White or Caucasian","Bachelor’s degree"
"34","65e0bfb71c7004790598da5e",0,"Low",6,"20","Female","Asian","Some college, but no degree"
"35","5a6b580de6cc4a0001b6a06b",0,"Low",3,"42","Female","Other","Bachelor’s degree"
"36","5cb128db0d14d3001838eef5",0,"High",5,"46","Female","Asian","Bachelor’s degree"
"37","66375415c3c10e7bb36351dc",0,"Low",0,"65","Male","Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)"
"38","63d1462855a43c2aa551bda2",0,"Low",8,"31","Male","White or Caucasian","Bachelor’s degree"
"39","65f90cafdbdb392902db1918",1,"Low",3,"19","Male","White or Caucasian","Some college, but no degree"
"40","5cf03d69b094d700013e4d54",0,"High",6,"31","Female","Asian","Bachelor’s degree"
"41","607fe1df924739a885d805fb",0,"Low",3,"31","Male","White or Caucasian","Bachelor’s degree"
"42","5d0fc2558cf933001663c77b",1,"High",4,"41","Female","White or Caucasian","Some college, but no degree"
"43","5e4db97c679288216771f059",0,"High",4,"54","Female","Asian","Bachelor’s degree"
"44","6148c0a6e2353cbbac1cd506",0,"High",5,"70","Male","White or Caucasian","Some college, but no degree"
