"","Target","Advice","Condition","GiverID","GiverGender","intChoice","Treatment","Score","ExpectedBonus"
"1","57656f6c2bfddf000125cce5",1,"None","6579de1b667a958c02aad75a","Female",0,"Low",6,0.275
"2","57656f6c2bfddf000125cce5",1,"None","5c5f8a910edbd90001e1feda","Female",0,"Low",6,0.275
"3","57656f6c2bfddf000125cce5",1,"E","65d66802ed9cfb7fdb43c071","Female",0,"Low",6,0.275
"4","57656f6c2bfddf000125cce5",0,"None","5ec189f03d870d5ba617fcc4","Female",0,"Low",6,0.2
"5","57656f6c2bfddf000125cce5",1,"None","6631b05fc366d064b4bf27e7","Female",0,"Low",6,0.275
"6","57656f6c2bfddf000125cce5",0,"E","664055c57b165c38262a8803","Male",0,"Low",6,0.2
"7","57656f6c2bfddf000125cce5",1,"E","66350c9b09f499bff69c6123","Female",0,"Low",6,0.275
"8","57656f6c2bfddf000125cce5",1,"E","6109a3bb1dae0911fbc3453c","Female",0,"Low",6,0.275
"9","57656f6c2bfddf000125cce5",1,"E","6632e71b65934c5810fb2eff","Female",0,"Low",6,0.275
"10","57656f6c2bfddf000125cce5",1,"E","6078d70bf4ca7cf039229d11","Female",0,"Low",6,0.275
"11","57656f6c2bfddf000125cce5",1,"None","5d6048d1a57d77001e8950e1","Female",0,"Low",6,0.275
"12","57656f6c2bfddf000125cce5",0,"E","5bef41fa54277d000114d6ad","Male",0,"Low",6,0.2
"13","57656f6c2bfddf000125cce5",0,"None","662aa5b5788dd10a3a8a8a67","Female",0,"Low",6,0.2
"14","57656f6c2bfddf000125cce5",1,"None","663e58d4333f291e2f443fc0","Female",0,"Low",6,0.275
"15","57656f6c2bfddf000125cce5",1,"None","659589bf2ef094a5e3fafa9d","Female",0,"Low",6,0.275
"16","57656f6c2bfddf000125cce5",0,"None","663a4982be179d40fffed555","Male",0,"Low",6,0.2
"17","57656f6c2bfddf000125cce5",1,"E","5fb156d6e16ee65ed2558d7c","Male",0,"Low",6,0.275
"18","57656f6c2bfddf000125cce5",0,"E","663a96f1628a39878a9f67b2","Female",0,"Low",6,0.2
