"","GiverID","Condition","1_advice","2_advice","3_advice","4_advice","5_advice","6_advice","7_advice","8_advice","9_advice","10_advice","age","GiverGender","ethnicity","education","0.PROLIFIC_PID","0.Score","0.Guess","1.PROLIFIC_PID","1.Score","1.Guess","2.PROLIFIC_PID","2.Score","2.Guess","3.PROLIFIC_PID","3.Score","3.Guess","4.PROLIFIC_PID","4.Score","4.Guess","5.PROLIFIC_PID","5.Score","5.Guess","6.PROLIFIC_PID","6.Score","6.Guess","7.PROLIFIC_PID","7.Score","7.Guess","8.PROLIFIC_PID","8.Score","8.Guess","9.PROLIFIC_PID","9.Score","9.Guess","ExpShow"
"1","6570b3cfc3c30f1f3b5d71ae","None",1,1,1,0,0,0,1,0,0,0,"55","Female","White or Caucasian","Some college, but no degree","60821a94db2dbf765571caf8","9","High Performer Group","615deb85c655c2768d2b5caa","6","Low Performer Group","5f032457e2b9844beff1a2ec","6","High Performer Group","654bd5ea8932a978a8a05ad9","4","Low Performer Group","6605f575db29f06270dcdd68","4","High Performer Group","640266a614e4080b6cf0deac","1","Low Performer Group","615a246b9484d07bb01d0724","7","High Performer Group","5c7ecfbb4243370001ed2f0e","5","High Performer Group","65cd1e5f0906cdfd7a2ecff9","4","Low Performer Group","63d148b2255821a940922c1a","4","High Performer Group",0
"2","5ef558cec16df81bb0943005","E",0,0,1,1,0,0,0,0,1,0,"43","Female","White or Caucasian","Bachelor’s degree","584626b7e0ba710001a47438","4","High Performer Group","65cd1e5f0906cdfd7a2ecff9","4","Low Performer Group","6047d1d9637a510a06458c85","6","Low Performer Group","65d5106c519964c4e8fe85dc","8","Low Performer Group","664122c85099a9d4e67b6376","5","Low Performer Group","6474cb4bd6def87a881a5d52","3","Low Performer Group","65d587bdbb77499449d5e178","4","High Performer Group","657a3e928a5bd029366a6692","5","High Performer Group","664595c663d73d4c31647e63","6","Low Performer Group","5d2df867d7cc160019673031","3","Low Performer Group",1
"3","65cb771336e6522edb21f793","None",1,1,1,1,0,0,0,1,1,0,"24","Female","Asian","Associates or technical degree","663196c1ffc03b67904d0401","4","High Performer Group","640266a614e4080b6cf0deac","1","Low Performer Group","657db19ca4e2e63c2eb7296f","5","Low Performer Group","648a20d992b7fa8718009072","6","Low Performer Group","5e72ca5b264abb21732427cf","3","Low Performer Group","66394a51094e646c0a97d78b","3","Low Performer Group","5c330cefca23620001b262b1","3","Low Performer Group","65cc4e01c9d34c613eea95cb","5","Low Performer Group","6010a8d40410bb4361630b89","6","Low Performer Group","63d148b2255821a940922c1a","4","High Performer Group",0
"4","66475a21e13193aa76321db2","E",0,1,1,0,1,0,1,0,0,1,"52","Female","White or Caucasian","Bachelor’s degree","64860c8cfd693e6467ad6d15","4","High Performer Group","65cbbb3a8fd2351d0029f2b3","6","High Performer Group","5974561734b844000168d1e0","6","Low Performer Group","5e72ca5b264abb21732427cf","3","Low Performer Group","663ce5f8f9091ddf6fdcb68c","7","High Performer Group","604db6324496c57afe822770","5","Low Performer Group","5c237be889f035000173c96c","6","High Performer Group","584626b7e0ba710001a47438","4","High Performer Group","637e92d12d4fe28339910c84","4","High Performer Group","615504bb4a1b3dfd4a773dcd","6","High Performer Group",1
"5","5b1d733b503f020001e686b4","None",0,1,0,0,1,1,0,0,0,1,"26","Female","Black or African American","Bachelor’s degree","604db6324496c57afe822770","5","Low Performer Group","663ce5f8f9091ddf6fdcb68c","7","High Performer Group","650dc4baafc4dc1243a13f13","4","High Performer Group","647bbb93aebd39c3a3c3a400","4","Low Performer Group","66045bbc41315e6d4151f0c4","7","Low Performer Group","603586b312863f6333cb8492","9","High Performer Group","5b257a0fbee7c80001f4a0c1","5","Low Performer Group","648a20d992b7fa8718009072","6","Low Performer Group","5bb58e338f3bd70001e5df57","5","Low Performer Group","605ff0746397c26c436b88af","9","High Performer Group",0
"6","64d50e1ad5a5d6c6fb9fb493","E",0,0,0,0,0,0,0,0,0,1,"57","Female","Other","Bachelor’s degree","6612bd96ca838588cd93d6c0","6","High Performer Group","6644f40c3117b782ed4ff39d","6","Low Performer Group","5ef42ba59401801d9f859e2d","7","Low Performer Group","6604567de774a31fa7fcd288","3","Low Performer Group","64163b7fba78217f4b18b12f","6","Low Performer Group","66045bbc41315e6d4151f0c4","7","Low Performer Group","5c3eb901ef1d0d0001b2ab29","4","Low Performer Group","636148deb71d7af6d219fd46","3","Low Performer Group","5ed427e3bcd0c00b58a177c0","7","Low Performer Group","63d1462855a43c2aa551bda2","8","Low Performer Group",1
"7","652825dde1285b06774a0ccf","E",0,0,0,0,1,0,1,0,0,0,"18","Male","Asian","High school diploma or GED","616c1cc2510fe9022f6577f8","6","Low Performer Group","6622ac5eeb96ef36c7123167","7","High Performer Group","637e92d12d4fe28339910c84","4","High Performer Group","5ef42ba59401801d9f859e2d","7","Low Performer Group","65cb7691255c006ed6ad4b3c","6","High Performer Group","61026cadb23cf6dca7e0c12e","4","Low Performer Group","5dd6e8e3e426bd67d5b1c7e0","7","High Performer Group","5b257a0fbee7c80001f4a0c1","5","Low Performer Group","648a18701640913de29ef479","3","High Performer Group","6549361190dc221dcf738b39","6","High Performer Group",1
"8","5ddb1b1e929d5da850164610","None",1,0,0,0,0,0,0,1,0,1,"42","Female","White or Caucasian","Some college, but no degree","5accd8d399835c00015e9cf4","6","Low Performer Group","6278856ed61afb01f6e4d0ac","5","Low Performer Group","61026cadb23cf6dca7e0c12e","4","Low Performer Group","608a0175caaa968e48ae4b6d","5","Low Performer Group","5fc035f6c039c1402117124b","4","Low Performer Group","5e9f138c34d3e40326507588","3","High Performer Group","636148deb71d7af6d219fd46","3","Low Performer Group","57656f6c2bfddf000125cce5","6","Low Performer Group","65d137ebe3f907e4ffc01d49","5","Low Performer Group","6047d1d9637a510a06458c85","6","Low Performer Group",0
"9","664657f0bf9097fe3c295ee3","E",1,1,1,1,1,0,1,0,0,0,"31","Female","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","57656f6c2bfddf000125cce5","6","Low Performer Group","66294db6d68dbd70fb31fb3c","7","High Performer Group","6623e6a65d7699a9a3f1f751","7","High Performer Group","65cbb49693940ca0627dbc8d","7","Low Performer Group","593444cd7f60d200011e5798","9","High Performer Group","663a4df4333d3a15282edebb","3","Low Performer Group","6636c28a5d977df2e2d89d58","7","Low Performer Group","60fd7cca95936026b622beee","6","High Performer Group","616da8d2898bf561b8c61a05","6","High Performer Group","5fc035f6c039c1402117124b","4","Low Performer Group",1
"10","5ae725a73b85e70001176e9c","None",1,1,0,0,0,0,1,1,1,0,"80","Male","White or Caucasian","High school diploma or GED","62d22695270242b5b620ba4f","7","Low Performer Group","5b5c3b266b25590001778ea1","7","Low Performer Group","648a18701640913de29ef479","3","High Performer Group","5bb58e338f3bd70001e5df57","5","Low Performer Group","63f8a056531af02b77961676","4","High Performer Group","5d2df867d7cc160019673031","3","Low Performer Group","6549361190dc221dcf738b39","6","High Performer Group","5ec70d2d62e69c157fde4884","8","High Performer Group","642b2d8a7b84306d49e2f4b0","7","High Performer Group","6319d10bcb4da9920a69e261","5","High Performer Group",0
