"","Target","ResponseId","PROLIFIC_PID","ranking_1","ranking_2","ranking_3","ranking_4","ranking_5","ranking_6","ranking_7","ranking_8","ranking_9","ranking_10","Condition","gender","age","ethnicity","education","name","Advice","url.0.URL","url.1.URL","url.2.URL","url.3.URL","url.4.URL","url.5.URL","url.6.URL","url.7.URL","url.8.URL","url.9.URL","finalRank"
"1","F_10oejnEV2ERi5HX","R_1gIW4Mci0AYxEcs","6140adcab5864590ec9a9c79","6","1","9","4","8","7","2","3","5","10","Likable","Female",30,"White or Caucasian","Bachelor’s degree","6_advice",7,"F_1K1t4tjbmrfAK47","F_12s9TGUgS0qHAq7","F_12awRKxduNjMyEk","F_1IMfBA6RxONJjkS","F_1Fb3bFSft2sboNG","F_10oejnEV2ERi5HX","F_1CecDFT0KKP76GX","F_1CD74E5ONr28NNw","F_12r0RshbNJLfE1Z","F_10YiUUKrh7JgI30",4
"2","F_10YiUUKrh7JgI30","R_12GueW5EdiEcybU","623537f22ffeb94d58da7a10","10","8","7","3","2","1","9","6","4","5","Accurate","Female",51,"White or Caucasian","Some college, but no degree","3_advice",7,"F_1Fb3bFSft2sboNG","F_12awRKxduNjMyEk","F_10YiUUKrh7JgI30","F_12r0RshbNJLfE1Z","F_1CecDFT0KKP76GX","F_12s9TGUgS0qHAq7","F_1CD74E5ONr28NNw","F_1K1t4tjbmrfAK47","F_10oejnEV2ERi5HX","F_1IMfBA6RxONJjkS",6
"3","F_10YiUUKrh7JgI30","R_1g86oSzVYBf73Z7","615dd1eb2702a672f7db49f1","10","6","8","9","7","1","3","5","2","4","Likable","Female",37,"White or Caucasian","Some college, but no degree","5_advice",7,"F_1Fb3bFSft2sboNG","F_12s9TGUgS0qHAq7","F_1K1t4tjbmrfAK47","F_12awRKxduNjMyEk","F_10YiUUKrh7JgI30","F_12r0RshbNJLfE1Z","F_10oejnEV2ERi5HX","F_1CD74E5ONr28NNw","F_1CecDFT0KKP76GX","F_1IMfBA6RxONJjkS",6
"4","F_10YiUUKrh7JgI30","R_2e28PrJr9k41g1N","63f3a28cfd1e4c72993c94f4","2","6","9","1","4","7","3","8","5","10","Likable","Female",49,"White or Caucasian","Associates or technical degree","6_advice",7,"F_12r0RshbNJLfE1Z","F_1CD74E5ONr28NNw","F_1IMfBA6RxONJjkS","F_12s9TGUgS0qHAq7","F_1K1t4tjbmrfAK47","F_10YiUUKrh7JgI30","F_1CecDFT0KKP76GX","F_1Fb3bFSft2sboNG","F_10oejnEV2ERi5HX","F_12awRKxduNjMyEk",6
"5","F_10YiUUKrh7JgI30","R_2fr4RXMID3tZkAp","5fc502cb4583150009dc8a66","4","6","10","2","7","1","5","9","8","3","Likable","Female",43,"White or Caucasian","High school diploma or GED","5_advice",7,"F_1IMfBA6RxONJjkS","F_10oejnEV2ERi5HX","F_1Fb3bFSft2sboNG","F_1CecDFT0KKP76GX","F_10YiUUKrh7JgI30","F_12r0RshbNJLfE1Z","F_1CD74E5ONr28NNw","F_12awRKxduNjMyEk","F_1K1t4tjbmrfAK47","F_12s9TGUgS0qHAq7",6
"6","F_10YiUUKrh7JgI30","R_3EmRHcPnUEMysQi","633872ba6dfc63a1faf7112d","7","10","9","3","4","2","5","8","1","6","Accurate","Female",64,"Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","1_advice",6,"F_10YiUUKrh7JgI30","F_1Fb3bFSft2sboNG","F_1K1t4tjbmrfAK47","F_1CecDFT0KKP76GX","F_12s9TGUgS0qHAq7","F_1IMfBA6RxONJjkS","F_12awRKxduNjMyEk","F_1CD74E5ONr28NNw","F_12r0RshbNJLfE1Z","F_10oejnEV2ERi5HX",6
"7","F_10YiUUKrh7JgI30","R_1FrcmSidcz3cups","63f564152b3caf8fc0a69dcf","5","10","4","9","6","1","7","2","8","3","Accurate","Female",54,"White or Caucasian","Some college, but no degree","7_advice",6,"F_1CD74E5ONr28NNw","F_1K1t4tjbmrfAK47","F_12r0RshbNJLfE1Z","F_12awRKxduNjMyEk","F_1IMfBA6RxONJjkS","F_12s9TGUgS0qHAq7","F_10YiUUKrh7JgI30","F_10oejnEV2ERi5HX","F_1Fb3bFSft2sboNG","F_1CecDFT0KKP76GX",6
"8","F_10YiUUKrh7JgI30","R_2TNnTaHZIWI741G","5c7560f14f23e50016135028","1","5","7","8","10","9","6","4","3","2","Accurate","Female",70,"White or Caucasian","Bachelor’s degree","3_advice",3,"F_12s9TGUgS0qHAq7","F_1CD74E5ONr28NNw","F_10YiUUKrh7JgI30","F_1K1t4tjbmrfAK47","F_1Fb3bFSft2sboNG","F_12awRKxduNjMyEk","F_1CecDFT0KKP76GX","F_12r0RshbNJLfE1Z","F_10oejnEV2ERi5HX","F_1IMfBA6RxONJjkS",6
"9","F_12awRKxduNjMyEk","R_oYUaJ7i6IibqB1f","60fd85c4c161e02f562b543a","3","5","2","1","7","8","10","4","6","9","Accurate","Female",53,"White or Caucasian","Associates or technical degree","5_advice",5,"F_10YiUUKrh7JgI30","F_12s9TGUgS0qHAq7","F_10oejnEV2ERi5HX","F_12r0RshbNJLfE1Z","F_12awRKxduNjMyEk","F_1K1t4tjbmrfAK47","F_1CD74E5ONr28NNw","F_1CecDFT0KKP76GX","F_1IMfBA6RxONJjkS","F_1Fb3bFSft2sboNG",7
"10","F_12awRKxduNjMyEk","R_3oTH152NNWtBlUr","61021d1ed8573fa2e07871ec","7","3","8","1","6","2","4","10","5","9","Accurate","Female",32,"Asian","Bachelor’s degree","1_advice",7,"F_12awRKxduNjMyEk","F_1IMfBA6RxONJjkS","F_10YiUUKrh7JgI30","F_10oejnEV2ERi5HX","F_1K1t4tjbmrfAK47","F_12r0RshbNJLfE1Z","F_12s9TGUgS0qHAq7","F_1CD74E5ONr28NNw","F_1CecDFT0KKP76GX","F_1Fb3bFSft2sboNG",7
