"","Target","Advice","Performance","Guess","Gender","Treatment","Condition","GiverID","ExpectedBonus"
"1","6419cedec2078147e5682474",1,10,7,"Male","Low","E","5cf50bc34f2334001aaf490c",0.5
"2","643ebfff661435ecda5a3580",0,1,2,"Female","High","E","5cf50bc34f2334001aaf490c",0.12
"3","5c022a94d183df000141f1e2",0,4,3,"Male","High","E","5cf50bc34f2334001aaf490c",0.3
"4","64da2707c3e6642220490de0",0,1,2,"Male","High","E","5cf50bc34f2334001aaf490c",0.12
"5","60933bb6e47eb28c880b93d9",0,4,5,"Female","High","E","5cf50bc34f2334001aaf490c",0.3
"6","655f8d03e234484afb1c3d51",0,4,3,"Female","Low","E","5cf50bc34f2334001aaf490c",0.3
"7","6562177a48308eebbb6359ea",0,5,3,"Male","Low","E","5cf50bc34f2334001aaf490c",0.3
"8","656e09b763f76df09ba6f8d8",0,5,5,"Female","Low","E","5cf50bc34f2334001aaf490c",0.3
"9","6333813956b0fd924b64a4d0",0,4,4,"Male","High","E","5cf50bc34f2334001aaf490c",0.3
"10","6564c5d8d4ff42c7e3d04cf4",1,10,10,"Female","Low","E","5cf50bc34f2334001aaf490c",0.5
"11","64d78f0b32711ec68958c832",0,4,2,"Male","Low","None","653840dc6d810a55d78c9ee2",0.3
"12","5fc7a6aaa7646c0009521161",1,8,9,"Male","High","None","653840dc6d810a55d78c9ee2",0.35
"13","6562f994412013dde08ac03e",0,5,5,"Male","High","None","653840dc6d810a55d78c9ee2",0.3
"14","6446f3b2df3f3274b549bec6",0,2,2,"Female","Low","None","653840dc6d810a55d78c9ee2",0.165
"15","5953462b2d8f240001481c53",1,8,8,"Female","High","None","653840dc6d810a55d78c9ee2",0.35
"16","6526c3297277ece1f3273549",0,2,3,"Male","High","None","653840dc6d810a55d78c9ee2",0.165
"17","63d13b3934b1255e0954a471",0,5,2,"Female","Low","None","653840dc6d810a55d78c9ee2",0.3
"18","655edbead5167a59c54d9353",0,7,6,"Female","High","None","653840dc6d810a55d78c9ee2",0.3
"19","60933bb6e47eb28c880b93d9",0,4,5,"Female","High","None","653840dc6d810a55d78c9ee2",0.3
"20","616da8d2898bf561b8c61a05",0,7,4,"Male","Low","None","653840dc6d810a55d78c9ee2",0.3
"21","5783027f913c71000197300d",0,1,3,"Female","High","None","656ea0f63ef227eed82fc9a7",0.12
"22","63d14652689d5918c3efdb81",1,5,4,"Male","High","None","656ea0f63ef227eed82fc9a7",0.15
