"","ResponseId","PROLIFIC_PID","Condition","1_advice","2_advice","3_advice","4_advice","5_advice","6_advice","7_advice","8_advice","9_advice","10_advice","GroupNum","age","gender","ethnicity","education","0.AdviseeID","0.Estimate","0.Performance","0.Gender","0.Treatment","1.AdviseeID","1.Estimate","1.Performance","1.Gender","1.Treatment","2.AdviseeID","2.Estimate","2.Performance","2.Gender","2.Treatment","3.AdviseeID","3.Estimate","3.Performance","3.Gender","3.Treatment","4.AdviseeID","4.Estimate","4.Performance","4.Gender","4.Treatment","5.AdviseeID","5.Estimate","5.Performance","5.Gender","5.Treatment","6.AdviseeID","6.Estimate","6.Performance","6.Gender","6.Treatment","7.AdviseeID","7.Estimate","7.Performance","7.Gender","7.Treatment","8.AdviseeID","8.Estimate","8.Performance","8.Gender","8.Treatment","9.AdviseeID","9.Estimate","9.Performance","9.Gender","9.Treatment"
"1","R_3qVVDlS3hZeWD7N","5cf50bc34f2334001aaf490c","E",1,0,0,0,0,0,0,0,0,1,37,30,"Female","White or Caucasian","Associates or technical degree","6419cedec2078147e5682474",7,10,"Male","Low","643ebfff661435ecda5a3580",2,1,"Female","High","5c022a94d183df000141f1e2",3,4,"Male","High","64da2707c3e6642220490de0",2,1,"Male","High","60933bb6e47eb28c880b93d9",5,4,"Female","High","655f8d03e234484afb1c3d51",3,4,"Female","Low","6562177a48308eebbb6359ea",3,5,"Male","Low","656e09b763f76df09ba6f8d8",5,5,"Female","Low","6333813956b0fd924b64a4d0",4,4,"Male","High","6564c5d8d4ff42c7e3d04cf4",10,10,"Female","Low"
"2","R_2vZEXmZ6g8AAnXY","653840dc6d810a55d78c9ee2","None",0,1,0,0,1,0,0,0,0,0,104,27,"Male","Other","Associates or technical degree","64d78f0b32711ec68958c832",2,4,"Male","Low","5fc7a6aaa7646c0009521161",9,8,"Male","High","6562f994412013dde08ac03e",5,5,"Male","High","6446f3b2df3f3274b549bec6",2,2,"Female","Low","5953462b2d8f240001481c53",8,8,"Female","High","6526c3297277ece1f3273549",3,2,"Male","High","63d13b3934b1255e0954a471",2,5,"Female","Low","655edbead5167a59c54d9353",6,7,"Female","High","60933bb6e47eb28c880b93d9",5,4,"Female","High","616da8d2898bf561b8c61a05",4,7,"Male","Low"
"3","R_yXgC7R7GX7n6f8R","656ea0f63ef227eed82fc9a7","None",0,1,0,0,1,0,0,0,1,1,166,24,"Female","White or Caucasian","Bachelor’s degree","5783027f913c71000197300d",3,1,"Female","High","63d14652689d5918c3efdb81",4,5,"Male","High","63c9fd72104f2f9bdc6b1fcc",4,1,"Male","High","5d5daa0457be9400014544ab",3,4,"Female","Low","609449f609ad18c98dba5787",2,5,"Female","Low","656766dc27c035c9ac54f90d",3,3,"Female","High","62dc65fdd3bbfeff289f1500",4,3,"Male","High","5a8f13595292b80001235e09",4,4,"Male","Low","651c2cc23704dc10500ae77c",2,5,"Female","High","62b6611f74e3b822f99b90f0",4,5,"Male","High"
"4","R_1HnuecrqIkrtPy4","5b26ed8a8ecf3f0001619040","E",1,0,1,0,1,0,1,1,1,0,221,39,"Male","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","56f29effed0cf60006911528",7,7,"Male","High","5eceed79840590300f53fa51",5,1,"Male","High","6103664b32254e61282aaf0f",8,7,"Female","Low","6400d98030c52020eabfd538",1,1,"Female","Low","60d3740f31606cb50e49f00c",1,8,"Male","Low","63ea4471a837335f74ef0f68",6,6,"Male","High","5dfd077e3690bd03bfa91d48",3,7,"Male","Low","651ebcca48c60acc82f1f2bd",5,8,"Female","Low","5fbafd1b299177bdcc7aa4ac",6,7,"Female","High","654e434ae05e35d574cecf05",5,6,"Female","High"
"5","R_77YHAfPiwfavQRj","632e4ac3a1ed32e0c597aa9d","E",0,0,0,0,0,0,1,0,1,0,40,77,"Female","White or Caucasian","Bachelor’s degree","5f57c697f9f7d02d07909dbb",3,5,"Female","Low","62dd47968d609bcb40a8f5ee",5,5,"Female","Low","5de84ccaeddfc97c4eed1f5d",4,5,"Male","High","5ee1be444c9d75206ce5aa92",5,5,"Male","Low","63d13e2a6dd3ec4a5f6bff7b",7,5,"Male","High","6527336a10697bd2ce775a8e",4,6,"Male","Low","610a81561cb8c17ebce209b3",5,8,"Male","Low","5f78ce64cb5f144a98a4fa38",1,5,"Female","Low","6535874da4c41c6b75cd8645",5,8,"Female","Low","63ea6fc5092518554c9b8111",6,6,"Female","Low"
"6","R_22SmUHKndsoFQDD","63edb6401c8f280841255a82","None",0,0,0,0,0,0,0,0,0,0,113,26,"Male","Other","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","653fb726d2b45b03e76d0c42",5,7,"Female","Low","629e2781136f152f6592f171",8,7,"Male","High","5fd0ebb69497b30008547502",3,0,"Female","Low","5ba86de49629a90001b3ef5f",3,7,"Female","High","63c5c3192e709e19fc67d5dd",0,1,"Male","Low","62ed458d61ebd1930833e95a",2,2,"Male","High","656330bce859fe9d4d59f7cd",2,0,"Male","High","5d82be0cf45ead000150f026",2,1,"Female","High","656907a16ea276f3fef47618",3,2,"Female","Low","559c3e07fdf99b32b55f2d8d",7,7,"Male","Low"
"7","R_Tbf9dRa9Iae95PX","651ab8cd3ecbad9f2062ab57","E",0,1,0,0,0,0,0,0,1,1,161,34,"Male","Asian","Bachelor’s degree","64559feafbddb5f11010b973",2,2,"Male","High","6286e40c379938abc16e254b",3,6,"Male","Low","64d5323f567c88a7df95b47a",3,4,"Male","High","61003158268e33dbe5e03efe",6,6,"Female","Low","5ace650a436f550001004f87",6,4,"Female","High","5bfd83b1a6d6a0000158ecd5",4,3,"Female","Low","6489db7cf28c81a0fe36111f",3,2,"Female","Low","61283769a39dd638c256540c",4,3,"Male","Low","654e801d14df9acd084196c2",6,6,"Female","High","64d63b117d0fcfc1cd8d6934",6,6,"Male","Low"
"8","R_3PBSaNeMpuAUrJr","58578946c41fd90001434680","None",0,0,0,0,0,0,1,0,1,0,119,68,"Male","White or Caucasian","Some college, but no degree","594425f07ccfd00001d3f462",3,4,"Male","Low","64d78f0b32711ec68958c832",2,4,"Male","Low","6569f75e1535619c755d8c2b",3,3,"Female","Low","63d86d675509ff61463bddcd",2,4,"Female","High","6563f79828c4121b6401e2e0",4,4,"Female","Low","653555db179dc4e859ef43fb",3,4,"Female","Low","63d000d62878aa92b833c5fc",7,6,"Female","High","63483c4522d65d46028da7a7",7,4,"Male","High","5aba561de1099600016a1041",3,6,"Male","High","655ca373c2a312979a9450fd",5,3,"Male","High"
"9","R_a4VEKBgLvbddCDL","5eebe4e6e61002183aec9b70","E",1,0,0,0,1,0,0,0,0,0,216,26,"Male","White or Caucasian","Some college, but no degree","643ab9c7dbf92589bedc45f6",6,8,"Female","Low","5d1d3f10d5669200017b4e46",4,3,"Female","High","650b6c4babc7aa25099a457d",4,3,"Male","Low","60b98567e2d17c3d44747f61",3,2,"Female","High","62a15df1dd6fa394ea04f063",7,8,"Male","Low","5d8934dc4c680f00181616f8",2,2,"Female","Low","60e2492cefd43293dfa7d74a",4,5,"Male","High","62ed458d61ebd1930833e95a",2,2,"Male","High","5dced6a2e2dcbd02eeff753f",1,5,"Female","Low","5623f6afed6e5a000bc7f219",2,2,"Male","Low"
"10","R_3iJeuZt1y98Vr4D","65410947105f67b4d452008e","None",0,0,0,0,0,0,0,0,0,0,122,50,"Male","White or Caucasian","High school diploma or GED","5d3a2d1da46f450019cdf5d3",0,2,"Male","High","6561435b409147a77be889dd",0,2,"Female","Low","6400f14b24ac2b910c9f2d93",3,3,"Male","High","5c38aadf1d1d1f000197c0a8",5,3,"Female","High","63f779f8e3d660cb75774fe8",4,2,"Male","High","5f5118e954b2e12ef9c52231",2,4,"Female","Low","5d8a64630ffb9c001746ca2c",2,1,"Male","Low","6476b68d90c09af88f39e1a5",3,1,"Female","High","62ceba5fdab49dfc90278cbb",5,2,"Female","High","636548d16d8486ac6e2c9332",6,4,"Male","High"
"11","R_1FKvyiyDwMptDmQ","63e5479f65b4fd95db6a9cd8","E",0,0,1,1,0,1,1,1,0,0,11,43,"Female","White or Caucasian","Some college, but no degree","6112c911a83cc494df38b468",2,5,"Female","Low","6107acfe97c63575a2344e36",0,1,"Female","High","61155a7ed7bb8ba7da579301",5,5,"Female","High","63fcf26a814570a76bcf2237",2,8,"Male","Low","63a49d5bb18f18863fe82dae",2,0,"Female","High","65382bd75cef4070421e08e3",6,5,"Male","Low","655f9ce6ddf0c9decedc6297",6,8,"Female","Low","6523d77974cdfbc583035c7c",5,5,"Male","High","5f6e2f793c9b1032dbe72def",4,0,"Male","Low","5c1980c24a03080001139d5a",2,1,"Male","Low"
"12","R_1JFuJy7sUuqnqsd","654e3d64d2cecbb0572af9d7","E",0,0,0,0,0,1,1,0,0,1,161,73,"Female","Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","64d5323f567c88a7df95b47a",3,4,"Male","High","6286e40c379938abc16e254b",3,6,"Male","Low","5ace650a436f550001004f87",6,4,"Female","High","64559feafbddb5f11010b973",2,2,"Male","High","5bfd83b1a6d6a0000158ecd5",4,3,"Female","Low","64d63b117d0fcfc1cd8d6934",6,6,"Male","Low","61003158268e33dbe5e03efe",6,6,"Female","Low","6489db7cf28c81a0fe36111f",3,2,"Female","Low","61283769a39dd638c256540c",4,3,"Male","Low","654e801d14df9acd084196c2",6,6,"Female","High"
"13","R_2VIJReXmUoc0k2H","583b16903d6baa00011999aa","None",0,0,1,0,0,0,0,1,0,0,28,33,"Male","White or Caucasian","Some college, but no degree","6266e63b82fa38e800e33a24",5,4,"Male","Low","638f8a0121203e0ddbf80e02",4,1,"Female","High","6045a06a5ea7976e20f82c1f",9,7,"Male","Low","6562c873c8002ad2e44b7b33",5,4,"Male","High","65304dd0cfbead1c3e3174b1",4,6,"Male","High","64a0240af7461068d2e1e1c0",2,4,"Female","Low","6567644b0a4a14cbeaac5a79",5,1,"Male","High","6106f21752ad2407a4d8b74c",7,7,"Female","Low","5eae0bd65d29984c458e6b50",2,6,"Female","Low","60fe3ebe79bcffa30c2aef75",3,4,"Female","High"
"14","R_3Icx67pqdMsDIfx","5f4153c1ec3a660ca3fc96ac","E",0,0,0,1,0,0,0,1,1,1,162,40,"Male","White or Caucasian","Some college, but no degree","653efdb0f60588dbb6c205cf",5,0,"Male","High","656907a16ea276f3fef47618",3,2,"Female","Low","652d5dcfbf51f8f449531f8d",2,2,"Male","High","63ecff07b619306f41db42fa",3,5,"Male","Low","65384d4f1c35096f3f32e972",0,0,"Female","High","654057a9a3cec121cea7c99b",4,2,"Female","High","6525f93eaf7f8fa31d6473a3",2,2,"Male","Low","650781823395fb5b973731f9",2,5,"Female","Low","61356a75a26f82d5cf223390",3,7,"Female","High","630cc9747cb664e8a03c29f0",5,7,"Male","High"
"15","R_UKOZbg8c8zf1YNH","63386e75b02c4d7013c1198b","None",0,0,1,0,0,0,0,1,1,1,213,59,"Male","White or Caucasian","High school diploma or GED","606a3cf263a18869ac8ee0ed",7,5,"Female","High","60171c9b1a726593103182b3",6,5,"Male","Low","64626c991bcb3a8bbd2880d8",8,7,"Male","Low","652940613511888d1ad5c864",2,1,"Female","Low","5deb341d35575a2547b1f85a",3,3,"Female","High","644e80f65a5c0e0d2f9a433b",5,3,"Male","High","5d30790f326b0f0017a2a828",2,1,"Male","Low","63d13b44f511eff0aef876f2",5,6,"Male","Low","65086c7f03eb48d5537d2e17",3,6,"Female","Low","655b6d4f57ae1636c0b4f647",8,7,"Female","High"
