"","ResponseId","PROLIFIC_PID","gender","age","Guess","ethnicity","education","QID7_Id"
"1","R_3QK7jACyGfM4faV","5bd8e057beca730001cf1bf5","Female",30,6,"White or Caucasian","High school diploma or GED","F_3R8Dr7UXmFs86vA"
"2","R_2fCFcK3WQT2KqCm","5d51e7563b105f001956e74a","Female",61,6,"White or Caucasian","Some college, but no degree","F_2rqZtB48z8BNpCM"
"3","R_cuSW22QnIqmO4CJ","64488a23553ba5078eb6cb9e","Female",60,7,"White or Caucasian","High school diploma or GED","F_1FnbFkmOxfv1Znv"
"4","R_27HZwFV6LhwrZvq","643b0ec10bfaa4da001974ef","Female",50,4,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_UaS1pbP6buG9R5v"
"5","R_8Hfap5n7v8uzadH","5bdb5e785e77d9000147e94d","Female",55,7,"White or Caucasian","High school diploma or GED","F_3HuE15xy2pOgxh9"
"6","R_3Ic7sW5D7P3Jxia","63651ebda2500601d3dd5365","Female",68,10,"White or Caucasian","Associates or technical degree","F_1QLxIxugpe3ReV0"
"7","R_31gWaWiCi0ovOT5","58a43e029a17120001d910d5","Female",40,2,"White or Caucasian","High school diploma or GED","F_2S2X1YwaNf2jg5Y"
"8","R_pmVfDXbxmUZ4G8V","5fbc2c78c568aa0c84232ce2","Female",58,5,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_3Rmdi1Wk3hFqlXN"
"9","R_2wis5ZAkrbCmtCk","63114fcf2fc8f4d507560901","Female",36,9,"White or Caucasian","Some college, but no degree","F_3kiaDZn4cpU5p72"
"10","R_2Cm5dtJVw7IqQSC","6109a6e65fed731dcaecb1f1","Female",20,9,"White or Caucasian","Some college, but no degree","F_AATGqTnExreKRi1"
"11","R_2aqPrgjZipzZ2mv","623a732198d2a11b21faccc9","Female",53,7,"White or Caucasian","Bachelor’s degree","F_2bObhWVEeUX95rB"
"12","R_3jYtNYZjM2g3qT3","610decef66e40420979d76ef","Female",19,8,"White or Caucasian","Some college, but no degree","F_eeTctm8tZFFu6FX"
"13","R_2TAzWKtAKX1X70C","60dccc040c30eb41bf18769e","Female",36,7,"Other","Some college, but no degree","F_2ty4iYYcHhxBDCO"
"14","R_1Lv5OVANLgpxlI0","628690801339eca9c44143cd","Female",29,9,"White or Caucasian,Black or African American","Bachelor’s degree","F_rdKZweMde9RAQzD"
"15","R_1ieVlXhIeGsixH3","63ced45255e61c93372b591a","Female",21,3,"White or Caucasian","Some college, but no degree","F_3q9G6HmlHv9oktR"
"16","R_3GkXwjAkFf7zyvi","62825aef9d9d5544867a6fc0","Female",34,8,"Asian","Bachelor’s degree","F_3iL4KwJpeNyIPJ6"
"17","R_1HpHmbNd8oLEFPX","610184b85f6357139bc4c9eb","Female",24,8,"White or Caucasian","Bachelor’s degree","F_3ESxU6eaq94BEod"
"18","R_ODO5wUbEBKIV18l","5efb5648d7ea0e08aa5d1179","Female",26,3,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_1cSL5Dlk3so8Qbs"
"19","R_3fHmTEk2DRHXCp5","5e9de42d6af8f2148b67cbb6","Female",21,5,"White or Caucasian","Some college, but no degree","F_12rLDBLowOuKG2d"
"20","R_23eNEOxfEF6X8Rn","5f7dd6ed4303f7000814dd3b","Female",35,8,"White or Caucasian","Some college, but no degree","F_3J2WiCj4IjCRx9J"
"21","R_116p7ZjoYixQPZi","60f7320f98a037fd7718e698","Female",28,3,"White or Caucasian,Other","Associates or technical degree","F_1LcKk6QK4gIlwpS"
"22","R_1IcSNA2Gnn0mYXo","60dfdb8bbef17b6739d12215","Female",34,10,"White or Caucasian","Some college, but no degree","F_9Ks7ILke9fUQs7v"
"23","R_24HuQ1EFV9nkNHd","5f65597823696e0e9bd8f63a","Female",44,4,"White or Caucasian","Bachelor’s degree","F_cu6ncOGl0003Vdf"
"24","R_6ePy2E7wUk0KMff","5fc8783438ffaa20a88e270e","Female",40,7,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","F_2OSH6c5r5dEQ8bH"
