"","ResponseId","PROLIFIC_PID","ranking_1","ranking_2","ranking_3","ranking_4","ranking_5","ranking_6","ranking_7","ranking_8","ranking_9","ranking_10","Condition","gender","age","ethnicity","education","name","Advice","duplicates","url.0.URL","url.1.URL","url.2.URL","url.3.URL","url.4.URL","url.5.URL","url.6.URL","url.7.URL","url.8.URL","url.9.URL","Target"
"1","R_2bO9wmtpWJYEDkt","55ad1d55fdf99b4c8f9941d4","6","8","7","5","3","2","1","9","4","10","Accurate","Female",38,"White or Caucasian","Bachelor’s degree","3_advice",5,FALSE,"F_DOwPkAjsVUA7pQZ","F_SE3qYKxgbtOGDVD","F_9slh31DfkNT7Oh3","F_SN1CWjSfGlcIMsV","F_C2DFx7l8HSIdpMB","F_DB2MdxBaNy36Zvb","F_6n8yU5rvBdx8mWJ","F_Qb9ajJaV29FlfHj","F_6mRsw6XyeMbrRuh","F_DcawXnxN2Pu1s6B","F_9slh31DfkNT7Oh3"
"2","R_3NDJ7Gj0LtSnVuu","5dbd861fbd08a92c5570b2cd","8","2","1","3","5","6","4","7","10","9","Accurate","Female",41,"White or Caucasian","Bachelor’s degree","8_advice",6,FALSE,"F_3KNKMtFOl6K5kTQ","F_3PBrMZWg2ledS6E","F_3fpoQCqhnavxk0V","F_3OdjcZTwp85swwu","F_3MDrkCWqrn20QrE","F_3iR6nmcIs3N6lbZ","F_3fjBNr5YrkSrSP3","F_3RxRlY3iivY4cYe","F_3ey3IwDsQAfRZnr","F_3P7QMxuPXNg4nVd","F_3RxRlY3iivY4cYe"
"3","R_1Iiy8Rk7wLxiqU6","5f46b13c9603e305ad51dc7f","5","1","6","7","2","4","10","9","3","8","Accurate","Female",38,"White or Caucasian","Associates or technical degree","4_advice",7,FALSE,"F_3fjBNr5YrkSrSP3","F_3fpoQCqhnavxk0V","F_3PBrMZWg2ledS6E","F_3P7QMxuPXNg4nVd","F_3OdjcZTwp85swwu","F_3MDrkCWqrn20QrE","F_3RxRlY3iivY4cYe","F_3ey3IwDsQAfRZnr","F_3KNKMtFOl6K5kTQ","F_3iR6nmcIs3N6lbZ","F_3P7QMxuPXNg4nVd"
"4","R_vcr4egrSKuu39V7","5cbfd2c776a6810001fd29b2","9","10","2","8","4","3","6","1","5","7","Accurate","Male",29,"White or Caucasian","Bachelor’s degree","10_advice",7,FALSE,"F_cu6ncOGl0003Vdf","F_XsKLe8K7s6v7XFL","F_Y084SesxxMFrK1j","F_W8a4AC7Hcq5au7n","F_aWOW8dtf77NGDUR","F_bDflVSCwQ5T32YV","F_UaS1pbP6buG9R5v","F_cGwjIv1Me8Foy6R","F_Rldzxw5991JTtdL","F_djxWmICEq9IbIgF","F_djxWmICEq9IbIgF"
"5","R_2RO3eHEFyq0NfQz","62d56e14e10c8af9b206138e","8","2","4","7","5","3","1","10","6","9","Likable","Male",41,"Asian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","4_advice",5,FALSE,"F_3Rg2AjlBD9J7Epr","F_3GpQNZQJOly5LsW","F_3PuXIED1rTFJX9h","F_3R8Dr7UXmFs86vA","F_3J2WiCj4IjCRx9J","F_3Gdr9o0jIvHrGWs","F_3ESxU6eaq94BEod","F_3GdFAV4fIewANfW","F_3QK7h1gq6NJYf86","F_3EiETVaiV7uiVLw","F_3R8Dr7UXmFs86vA"
"6","R_0IK53Fmd3l4pPLX","6229ee11f6b5405956544966","5","9","1","3","6","4","8","7","10","2","Likable","Female",61,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","8_advice",8,FALSE,"F_2eOQV6PXKbOAo65","F_2fy2vQzo7RiLI29","F_2bIBgJo4SNw0OGt","F_2xY7c4yHNgf5XQr","F_2flbSZ3386sePEL","F_2ePD2jGJu5LQOIU","F_2dG79BQ86EYC6xy","F_2bNMbNUHwOsjSfQ","F_2tm9Iv45wzDeg7l","F_2wh2IDjsftRJb8j","F_2bNMbNUHwOsjSfQ"
"7","R_1mErTTDS22EeBIU","63f7837e2f09cd534ebfd193","2","10","3","6","4","8","5","1","7","9","Likable","Female",55,"White or Caucasian","Some college, but no degree","9_advice",7,FALSE,"F_3ksP8jpBDlWChAi","F_3lWvSdQYyrXM0Rq","F_3qwohznQZAj3hNZ","F_5q1WcRlH1P2gLIt","F_3scAHdnVWjYAWT7","F_3qJsykkAPnjfcV4","F_3kNgtYslBd4bD8U","F_3mledP9WHL1nk2Y","F_3koEac1UPBj367k","F_3psWDYGyjG2QLgE","F_3koEac1UPBj367k"
"8","R_7alrwCve8qyS1KF","6127072ecbce58c5df452c58","4","8","7","1","6","2","9","5","10","3","Likable","Female",74,"White or Caucasian","High school diploma or GED","3_advice",5,FALSE,"F_3koEac1UPBj367k","F_3psWDYGyjG2QLgE","F_3mledP9WHL1nk2Y","F_3qJsykkAPnjfcV4","F_5q1WcRlH1P2gLIt","F_3scAHdnVWjYAWT7","F_3qwohznQZAj3hNZ","F_3kNgtYslBd4bD8U","F_3lWvSdQYyrXM0Rq","F_3ksP8jpBDlWChAi","F_3mledP9WHL1nk2Y"
"9","R_WDQNmAgeG2WuscV","644e8d023ff43328efac53e1","3","8","1","2","10","6","9","4","5","7","Accurate","Male",66,"Black or African American","Bachelor’s degree","10_advice",7,FALSE,"F_3EiETVaiV7uiVLw","F_3Gdr9o0jIvHrGWs","F_3GpQNZQJOly5LsW","F_3ESxU6eaq94BEod","F_3GdFAV4fIewANfW","F_3Rg2AjlBD9J7Epr","F_3J2WiCj4IjCRx9J","F_3PuXIED1rTFJX9h","F_3R8Dr7UXmFs86vA","F_3QK7h1gq6NJYf86","F_3QK7h1gq6NJYf86"
"10","R_1dsi0i93bYNCP59","5ac7ae4ca3ba7a0001b4c1b3","1","10","7","6","3","5","8","9","2","4","Likable","Male",37,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","3_advice",5,FALSE,"F_1gcqHGx99dsU613","F_216tuE7djcP5pdf","F_1dh5rEyzeewfHUq","F_1l45HlWyABVMmUO","F_1mrqtqp6pXX5bRw","F_1l4RdX9meeYIQHv","F_1rcuPXlQG7SB8fx","F_22PRBS7sAKesi1e","F_1pMyxId534OOBIU","F_1cSL5Dlk3so8Qbs","F_1dh5rEyzeewfHUq"
