"","ResponseId","PROLIFIC_PID","Condition","1_advice","2_advice","3_advice","4_advice","5_advice","6_advice","7_advice","8_advice","9_advice","10_advice","age","gender","ethnicity","education","0.AdviseeID","0.Estimate","0.Performance","0.Gender","0.Treatment","1.AdviseeID","1.Estimate","1.Performance","1.Gender","1.Treatment","2.AdviseeID","2.Estimate","2.Performance","2.Gender","2.Treatment","3.AdviseeID","3.Estimate","3.Performance","3.Gender","3.Treatment","4.AdviseeID","4.Estimate","4.Performance","4.Gender","4.Treatment","5.AdviseeID","5.Estimate","5.Performance","5.Gender","5.Treatment","6.AdviseeID","6.Estimate","6.Performance","6.Gender","6.Treatment","7.AdviseeID","7.Estimate","7.Performance","7.Gender","7.Treatment","8.AdviseeID","8.Estimate","8.Performance","8.Gender","8.Treatment","9.AdviseeID","9.Estimate","9.Performance","9.Gender","9.Treatment"
"1","R_sMarp6G3ZL6zLj3","653bbf7e04cc8d9994f1f252","None",0,0,1,1,0,0,0,0,1,0,47,"Male","White or Caucasian","Bachelor’s degree","5ddee8912e6c77e798b5882f",5,3,"Male","High","59c41e340c5fc800011940f3",4,2,"Male","High","5be08e69610cba000151f1f7",3,7,"Male","Low","56d39b96da2aaa000dab6178",6,8,"Male","Low","5a69f41df10cdb0001b10329",3,2,"Male","Low","5dd9f0e719eecb97dfab7b48",4,4,"Male","High","6163abe84640981d685a57f2",4,2,"Male","Low","63c18301a31679d3e3e39101",2,6,"Female","High","63d404c998ba54d608329c33",7,8,"Male","High","6548f960db60a00d76e92695",4,5,"Male","Low"
"2","R_1jCEi89BQYAGS0p","63e68a708ed099bf7aae870e","E",0,0,0,0,1,0,0,0,0,1,37,"Male","Other","Some college, but no degree","628e0063fa56e316da2a71cb",7,4,"Male","High","65551c78282878272cdc2102",5,4,"Female","High","61310db855a32fc69c440550",3,4,"Female","Low","5fb08ec5ddc19949a58f5a4f",2,3,"Female","Low","5b0d1b8e444cef0001ca66ac",2,6,"Female","Low","628f572a2d1304a34b9e1a37",2,3,"Male","Low","5cd6c1197b871a0001b13589",2,1,"Female","Low","651af447dcee6525fe0ac08f",3,4,"Female","Low","655e0d7ac83749e58a3dfc09",3,3,"Female","High","6554dc99bf5ebccc0672be3d",4,4,"Male","High"
"3","R_1gpwGK18cPmxRqj","628e96b9b7679f5464681a9a","E",0,0,1,1,0,1,1,1,0,1,33,"Male","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","5de831cad4995d000c5fb540",5,3,"Male","High","628277d1d5efc2ba7e3f96ed",2,3,"Male","High","56fa002e8425ef000b3a4276",4,8,"Male","High","6108649840bf2b927ef3905c",7,8,"Male","Low","5a0c63e15d06850001affd96",4,3,"Male","Low","655e418cd0a6130a864d7d56",7,9,"Male","Low","61084cf97f6981fb1f90683e",4,7,"Female","Low","65313ce1f99d9a35b6e90a7f",7,9,"Female","Low","6276044d01f3dab873d5b0a5",5,3,"Male","Low","614e7ad7ff5a0d785d5e550a",10,9,"Male","High"
"4","R_3G9OV7GtcZM4vov","5cb4c5bad44c410017960aa0","None",0,0,0,0,0,0,0,0,0,0,55,"Female","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","623484b9a279762ab4c8b6dc",4,3,"Female","High","6517faa30cadd3291661b119",9,8,"Male","Low","5fe508e86079e12a8a3b2427",8,8,"Male","Low","6132542039ead71f30971bd6",1,2,"Male","Low","54847f1cfdf99b07b28f22f9",6,2,"Male","High","5be0fb420d5adc0001d6d5b7",2,3,"Male","High","63e40cde6487028afe7bec5d",3,2,"Male","Low","5700616b8a49c7000d0c73ad",2,6,"Female","High","64d544908cc0899c470c9516",3,3,"Male","Low","631e3ba1714b8e7f8fe9338d",7,5,"Male","Low"
"5","R_XM3Vk3NU2tzI2Ep","6569ea62e64b79f3843adcf2","None",0,0,0,0,0,0,0,0,0,0,23,"Male","Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","5e27868c5cbbcc0b3599574b",4,8,"Male","Low","629186f7e2f20297ead170be",8,6,"Male","High","58d069219dbe3f0001258793",2,3,"Male","Low","5fefefa4c9707d3516361c9c",6,3,"Female","Low","614f3a020b0f8d857c3d5cad",5,9,"Female","Low","570758d5374137000fbb68cd",5,5,"Female","High","62728f0c68b9ecf571a2dbd4",2,3,"Male","Low","55a29659fdf99b5ff49937d3",4,2,"Female","High","650b695bf3b3d34f9c461926",6,7,"Female","Low","654837a00511efc35646b9ca",9,10,"Male","High"
"6","R_pKwqupJ0alPbASB","6035367e6513d7dd77e778b4","None",0,0,0,1,0,1,0,0,1,0,45,"Male","Other","Associates or technical degree","5fb84d9d8a35c11bd4896a47",2,4,"Female","High","653a9c57c974283419bba454",7,5,"Male","Low","57ab3f8321e5a50001562cd3",3,5,"Male","Low","654650713282e9e8d26d0b86",9,9,"Male","High","6234d77291179c1badffad36",5,3,"Male","Low","5c830a66d6a4d0000164097d",8,10,"Male","Low","59894fbbda239a0001fb8e16",1,4,"Female","High","5ef9e7a8e1d3567a48fa1154",6,7,"Male","Low","655ff28a070d42d4bc67f4c9",9,8,"Male","High","615deb85c655c2768d2b5caa",3,4,"Male","Low"
"7","R_2CQho1o8b1W3BgY","65562f6654a25138182fba4b","E",1,0,0,1,1,0,0,0,0,0,66,"Female","Black or African American","Bachelor’s degree","5e8533ea660027000945d9bf",6,9,"Male","Low","651752412b1f19fef16f6902",3,3,"Male","High","58b2338a898c2e0001a5ca56",3,3,"Female","Low","5df9b4122b12bd7153e68e2b",8,8,"Male","Low","6563507a7389aac2354b8a31",3,7,"Female","Low","65632f635e9a86ae42bf51eb",1,4,"Female","High","652becadf20dbdfe37b610a9",2,3,"Male","Low","5bdfb648484288000130dad0",2,4,"Male","Low","5f123d2f9926a1193a114e68",1,3,"Female","Low","655c9eb6350be3de2c9f155e",3,3,"Female","High"
"8","R_2wzqLZMbMcVLOvQ","6525783e89e2d3698ee553a6","None",0,0,0,1,1,0,1,0,1,1,62,"Male","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","60bc2284cfc4b7c2ab9cacdb",1,3,"Female","High","63ea54cae81a2baf10a14930",2,2,"Female","High","60ff1981688229d1e3eb43e9",2,3,"Female","Low","5f3bc91327d97393a0c56178",5,8,"Male","Low","5f0d529c9df050769b81e18f",2,4,"Male","High","604fc38a4de8e6e1e0e0ea7b",1,3,"Female","Low","5ab3fc4b5f01000001cb07e2",9,8,"Male","Low","59048309c4ef1300011b1085",3,4,"Female","Low","5d4c7ac3e8ec490018b0050d",1,5,"Female","Low","6550ecb81d9826a9f131c5a3",8,7,"Female","Low"
"9","R_CkqESxkZJ2RlVPr","6039b3699649cf4b48cd3d12","None",1,1,1,1,0,0,0,1,1,0,20,"Female","White or Caucasian","Some college, but no degree","654b78eb297a98723e6247cb",6,7,"Male","Low","63bde9862392eebaf64770c2",5,7,"Male","Low","656c8e0fdcacc13a8f17c968",7,8,"Female","High","64226a9ac7739618beeee60d",8,8,"Male","High","64527892acde0fbd392a41d6",4,3,"Female","High","5c0fcccc1f6f150001487111",1,4,"Female","High","63db74b49b4a80525a557a61",8,6,"Male","High","646774e0f86825ab62c37581",6,8,"Male","High","56e6a66af6ed900006a5867c",8,9,"Male","High","5e06f13e39bcde0a29c39a13",2,3,"Female","High"
"10","R_1eIskUNmDzo8YGR","5f1f9c1e6342c31c5c9ebe0a","E",1,0,0,0,1,0,1,0,0,0,27,"Female","Asian","Bachelor’s degree","63d808ea16057197cc58cf6d",8,9,"Male","Low","6555f3f23d4f8420c0f1fd50",6,3,"Female","Low","63d7a6a997f03198526a1941",4,6,"Male","Low","605ff0746397c26c436b88af",7,4,"Female","High","64226a9ac7739618beeee60d",8,8,"Male","High","54847f1cfdf99b07b28f22f9",6,2,"Male","High","5c830a66d6a4d0000164097d",8,10,"Male","Low","652becadf20dbdfe37b610a9",2,3,"Male","Low","651af447dcee6525fe0ac08f",3,4,"Female","Low","580cab86b869700001d71628",2,1,"Female","High"
