"QID7_Id","ResponseId","PROLIFIC_PID","scores","raterNr","finalRank","value","Giver_Id","Condition"
"F_10oejnEV2ERi5HX","R_bIOZBhPypkYx9IZ","5fde6c73ad8fba6069f139ed",161,41,4,7,"6140adcab5864590ec9a9c79","Likable"
"F_10YiUUKrh7JgI30","R_3KBnO99gxMNfrK1","59d662aa0c0c7100015b9af6",240,41,6,6,"633872ba6dfc63a1faf7112d","Accurate"
"F_12awRKxduNjMyEk","R_2Y3b2XhaI9vNwkA","5f4beb12d01b150d4fe1d9f3",307,41,7,5,"60fd85c4c161e02f562b543a","Accurate"
"F_12JV7zcZsUeAkNI","R_217Jfr4WfMw9XZm","5ee142b292607215593aa9af",228,29,8,7,"5ba19bdfa896050001d51f18","Accurate"
"F_12rLDBLowOuKG2d","R_3fHmTEk2DRHXCp5","5e9de42d6af8f2148b67cbb6",159,29,5,7,"5ffd2c0699c3912436845113","Accurate"
"F_12s9TGUgS0qHAq7","R_1FPrtcoSMrdnxtD","6400fb97cf630a6c6502ae6c",178,41,4,6,"558ffe16fdf99b3f7aada34d","Likable"
"F_1CD74E5ONr28NNw","R_RmkJv5n9hYv0t3z","5ed17f22e1dc340c98fd6bc7",274,41,7,7,"5fc5a2371b535212264944ca","Accurate"
"F_1CecDFT0KKP76GX","R_3R2c46UQAeopIAh","63ed00d9a442d349cd6b2a4e",162,41,4,6,"60284b049e884437b220b172","Likable"
"F_1dFasm2Tcbncr9Y","R_2Ysqp4M75n8agUS","5ffb8c5b60571908f3ac19fa",191,24,8,5,"6134e3d48d0eaa5c8fe8c25e","Likable"
"F_1dh5rEyzeewfHUq","R_1RZLz24ssFZFwn7","60bc18bb8b971280ef13060c",243,38,6,7,"55b9a9b0fdf99b6906d2aba4","Accurate"
"F_1ezR34bv5nNEhLY","R_exnBxfVCmUqBkC5","5fadeb340e10471fdeb5fbf5",162,24,7,3,"636eef4c2fa8b09cc41bba0e","Likable"
"F_1FnbFkmOxfv1Znv","R_cuSW22QnIqmO4CJ","64488a23553ba5078eb6cb9e",164,29,6,7,"5a7d01a4b093f80001a79252","Likable"
