StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID2,QID3,QID21_First Click,QID21_Last Click,QID21_Page Submit,QID21_Click Count,CT&PS4,CT&PS6,CT&PS8,EI1,EI4,EI5,EI9,S&C4,S&C6,S&C8,Age,Gender,Ethnicity,Education,Comments,SC0,PROLIFIC_PID,Score
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This is a consent form. Please read and click below to continue.

You are being asked to take part in a research study on decision-making. Your participation is voluntary and is greatly appreciated. If you agree to be in this study, you will be asked to complete a survey asking you questions about your opinions or questions that have a correct answer. This survey will take approximately 7 minutes to complete, or as described in the posting. You may withdraw your consent to participate at any time and with no penalty by closing this browser window. Additional details of this study are described below.


Eligibility: All U.S. residents over the age of 18 are eligible to participate. However, this survey cannot be taken on a mobile device. You may only participate in this study once; after the first attempt, any additional attempts at this survey will not be approved or compensated.


Risk & Benefits: The risks associated with participation in this study are no greater than those encountered in daily life. There may be no direct benefits to participation, except for the enjoyment of contributing to research.


Compensation: You will receive a fixed payment for completing this survey as described in the posting (approximately $6/hr). Additional compensation may be available in the experiment, depending on the choices that you make. All such bonus opportunities will be explained to you during the study, and you will receive compensation paid via the survey platform shortly after completion of the study. Bonus earnings, if any, may take a few days to be sent.


Confidentiality: Your Participant ID (such as your MTurk or Prolific ID) will be recorded to facilitate compensating you for your participation. This ID will not be linked to your identity. You will never be asked to provide your name or other personally identifying information. The data may be made publicly available following conclusion of the study. In that case, your Participant ID will be removed such that no identifier can link you to your decisions. We will not ask you for any personally identifiable information and cannot link your Participant ID to your identity.


Withdrawal Policy: You may withdraw from this study at any time and with no penalty. To withdraw from this study, close the browser window and return the task via the participation platform.


Contact information: This study is being conducted by David Hagmann (Hong Kong University of Science and Technology). Please contact David (hagmann@ust.hk) with any questions or feedback. The study has been approved by the Internal Review Board at HKUST.


Agreement to Participate: By clicking to continue, you are indicating that you have read this consent form, that you are eligible to participate, and that you voluntarily agree to participate in the study. If you do not wish to participate in this study, you may close the browser window. You may withdraw your consent to participate at any time by closing the browser window and exiting the study.",Please make sure that your Prolific ID is recorded correctly,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"[Critical Thinking & Problem Solving: #1] 
Can you guess the words and expressions?





 

Your Answer:","[Critical Thinking & Problem Solving: #2] 
Can you guess the words and expressions?





 

Your Answer:","[Critical Thinking & Problem Solving: #3] 
Can you guess the words and expressions?





 

Your Answer:","[Emotional Intelligence: #1] 
Please examine the eyes of the individual in the image and try to identify their emotions. Can you predict what this person is feeling based on their facial expression?","[Emotional Intelligence: #2] 
Can you predict what this person is feeling based on their facial expression?","[Emotional Intelligence: #3]  
Can you predict what this person is feeling based on their facial expression?","[Emotional Intelligence: #4] 
Can you predict what this person is feeling based on their facial expression?","[Social & Communication: #1] 
What is an essential element of effective public speaking?","[Social & Communication: #2] 
Why is cultural awareness important in communication?","[Social & Communication: #3] 
Imagine that your team lacks anyone skilled in data analysis, and your boss tasks you with analyzing visitor behavior on the company's website to the best of your ability. A week later, you ask a colleague from a different team to provide feedback on your work so that you can improve it before presenting it to your boss.


Upon reviewing your analysis, your colleague says, ""This makes no sense. Have you ever worked with data before?""


How would you respond to this feedback?",Age,Gender,Ethnicity,Education,"Thank you for participating in this study and helping us with our research!

  

Do you have any comments for the researchers? (optional)",Score,PROLIFIC_PID,Score
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID21_FIRST_CLICK""}","{""ImportId"":""QID21_LAST_CLICK""}","{""ImportId"":""QID21_PAGE_SUBMIT""}","{""ImportId"":""QID21_CLICK_COUNT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID52""}","{""ImportId"":""QID57""}","{""ImportId"":""QID59""}","{""ImportId"":""QID62""}","{""ImportId"":""QID1214363063_TEXT""}","{""ImportId"":""QID1214363064""}","{""ImportId"":""QID1214363065""}","{""ImportId"":""QID1214363066""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""SC_57k1Pc5tfThcqoe""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Score""}"
2024-05-03 00:21:52,2024-05-03 00:27:16,Survey Preview,,100,323,True,2024-05-03 00:27:17,R_4wyT5Vnafa4v9Xa,,,,,22.2908,114.1501,preview,EN,I agree to participate.,,0.637,31.493,300.182,10,once in a blue moon,painless operation,small talk,playful,worried,uneasy,doubtful,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",23,Male,American Indian/Native American or Alaska Native,"Some college, but no degree",,10,,10
2024-05-03 10:16:13,2024-05-03 10:22:32,IP Address,108.73.107.27,100,379,True,2024-05-03 10:22:33,R_2eqOCCSUdgRqZev,,,,,41.4377,-81.8088,anonymous,EN,I agree to participate.,61030f5dbce8843411a01c3d,1.333,297.229,300.024,34,Once in a Blue Moon,Painless Operation,Small Talk,playful,worried,fantasizing,doubtful,Speaking confidently,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",28,Female,White or Caucasian,Bachelor’s degree,N/a,7,61030f5dbce8843411a01c3d,7
2024-05-03 10:22:21,2024-05-03 10:28:34,IP Address,73.126.68.116,100,373,True,2024-05-03 10:28:35,R_1Fb8Bh5oE7bJDQ7,,,,,42.205,-72.6276,anonymous,EN,I agree to participate.,5fbe42c891f04a32f38807a4,3.111,251.899,300.059,16,once in a blue moon,operation,small talk,playful,worried,uneasy,doubtful,Maintaining eye contact with the audience,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",38,Female,White or Caucasian,Bachelor’s degree,"No comments, thank you.",8,5fbe42c891f04a32f38807a4,8
2024-05-03 10:12:44,2024-05-03 10:30:21,IP Address,172.59.218.75,100,1056,True,2024-05-03 10:30:22,R_3YigH5tr9r2V9jk,,,,,35.2426,-80.741,anonymous,EN,I agree to participate.,661bf01e5d048f1fe3d827c2,3.874,267.144,300.116,13,once moon,,TALKING,irritated,sarcastic,uneasy,doubtful,Speaking confidently,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",67,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",No. I don't have any comment.,3,661bf01e5d048f1fe3d827c2,3
2024-05-03 10:35:30,2024-05-03 10:42:24,IP Address,67.176.220.148,100,414,True,2024-05-03 10:42:25,R_1dAPtR1vLkUx704,,,,,41.8388,-87.7891,anonymous,EN,I agree to participate.,66339ebcf7e65840259235ab,15.401,262.35,301.171,13,Once upon a blue moon,Operation,Small Talk,playful,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",39,Female,Other,Associates or technical degree,,5,66339ebcf7e65840259235ab,5
2024-05-03 10:39:17,2024-05-03 10:45:29,IP Address,68.224.73.193,100,371,True,2024-05-03 10:45:29,R_5gLxQVVh3CtJFVD,,,,,35.9854,-115.1193,anonymous,EN,I agree to participate.,611c1cf68a3a6fc487b01d82,9.923,198.971,301.256,16,once in a blue moon,zero tolerance,small talk,playful,worried,fantasizing,doubtful,Speaking confidently,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",35,Male,White or Caucasian,Associates or technical degree,"These were fun, thank you!",6,611c1cf68a3a6fc487b01d82,6
2024-05-03 10:37:42,2024-05-03 10:46:43,IP Address,172.59.169.37,100,540,True,2024-05-03 10:46:44,R_2E1S7QTxCbQgcF3,,,,,38.6745,-90.2426,anonymous,EN,I agree to participate.,661f775070e92e0410c20865,15.774,262.35,300.143,22,"ONCE ON MOON ",,SPEAK,comforting,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,,31,Male,Black or African American,Bachelor’s degree,"IT KINDA FEEL INTENSE, BUT IT WAS FINE, I LIKE IT. THOUGH I FEEL THE TIME WAS KINDA SHORT.",2,661f775070e92e0410c20865,2
2024-05-03 10:42:02,2024-05-03 10:49:09,IP Address,170.205.176.37,100,427,True,2024-05-03 10:49:10,R_6kHE1HjKthIuOoi,,,,,32.275,-83.4981,anonymous,EN,I agree to participate.,661ec105e3a3646adf4e6144,20.071,299.62,300.141,10,,,small talk,irritated,worried,fantasizing,affectionate,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",62,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,5,661ec105e3a3646adf4e6144,5
