StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1213411184,QID24_1,age,gender,ethnicity,education,ranking_1,ranking_2,ranking_3,ranking_4,ranking_5,ranking_6,ranking_7,ranking_8,ranking_9,ranking_10,1_advice,2_advice,3_advice,4_advice,5_advice,6_advice,7_advice,8_advice,9_advice,10_advice,comments,PROLIFIC_PID,Condition,groupnr,url.0.URL,url.1.URL,url.2.URL,url.3.URL,url.4.URL,url.5.URL,url.6.URL,url.7.URL,url.8.URL,url.9.URL
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This is a consent form. Please read and click below to continue.

You are being asked to take part in a research study on decision-making. Your participation is voluntary and is greatly appreciated. If you agree to be in this study, you will be asked to complete a survey asking you questions about your opinions or questions that have a correct answer. This survey will take approximately 15 minutes to complete, or as described in the posting. You may withdraw your consent to participate at any time and with no penalty by closing this browser window. Additional details of this study are described below.



Eligibility: All U.S. residents over the age of 18 are eligible to participate. However, this survey cannot be taken on a mobile device. You may only participate in this study once; after the first attempt, any additional attempts at this survey will not be approved or compensated.

Risk & Benefits: The risks associated with participation in this study are no greater than those encountered in daily life. There may be no direct benefits to participation, except for the enjoyment of contributing to research.





Compensation: You will receive a fixed payment for completing this survey as described in the posting (approximately $6/hr). Additional compensation may be available in the experiment, depending on the choices that you make. All such bonus opportunities will be explained to you during the study, and you will receive compensation paid via the survey platform shortly after completion of the study. Bonus earnings, if any, may take a few days to be sent.



Confidentiality: Your Participant ID (such as your MTurk or Prolific ID) will be recorded to facilitate compensating you for your participation. This ID will not be linked to your identity. You will never be asked to provide your name or other personally identifying information. The data may be made publicly available following conclusion of the study. In that case, your Participant ID will be removed such that no identifier can link you to your decisions. We will not ask you for any personally identifiable information and cannot link your Participant ID to your identity.



Withdrawal Policy: You may withdraw from this study at any time and with no penalty. To withdraw from this study, close the browser window and return the task via the participation platform.



Contact information: This study is being conducted by David Hagmann (Hong Kong University of Science and Technology). Please contact David (hagmann@ust.hk) with any questions or feedback. The study has been approved by the Internal Review Board at HKUST.



Agreement to Participate: By clicking to continue, you are indicating that you have read this consent form, that you are eligible to participate, and that you voluntarily agree to participate in the study. If you do not wish to participate in this study, you may close the browser window. You may withdraw your consent to participate at any time by closing the browser window and exiting the study.",Text,Age,Gender,Ethnicity,Education,"Ranking

Here are all 10 selfies submitted by Prolific participants. Please rank them according to their attractiveness. (Rank 1 represents 'the most attractive' and Rank 10 represents 'the least attractive') - <img src=""${e://Field/url.0.URL}""  width=""250"" height=""250""/>","Ranking

Here are all 10 selfies submitted by Prolific participants. Please rank them according to their attractiveness. (Rank 1 represents 'the most attractive' and Rank 10 represents 'the least attractive') - <img src=""${e://Field/url.1.URL}"" width=""250"" height=""250""/>","Ranking

Here are all 10 selfies submitted by Prolific participants. Please rank them according to their attractiveness. (Rank 1 represents 'the most attractive' and Rank 10 represents 'the least attractive') - <img src=""${e://Field/url.2.URL}"" width=""250"" height=""250""/>","Ranking

Here are all 10 selfies submitted by Prolific participants. Please rank them according to their attractiveness. (Rank 1 represents 'the most attractive' and Rank 10 represents 'the least attractive') - <img src=""${e://Field/url.3.URL}"" width=""250"" height=""250"" />","Ranking

Here are all 10 selfies submitted by Prolific participants. Please rank them according to their attractiveness. (Rank 1 represents 'the most attractive' and Rank 10 represents 'the least attractive') - <img src=""${e://Field/url.4.URL}"" width=""250"" height=""250"" />","Ranking

Here are all 10 selfies submitted by Prolific participants. Please rank them according to their attractiveness. (Rank 1 represents 'the most attractive' and Rank 10 represents 'the least attractive') - <img src=""${e://Field/url.5.URL}"" width=""250"" height=""250"" />","Ranking

Here are all 10 selfies submitted by Prolific participants. Please rank them according to their attractiveness. (Rank 1 represents 'the most attractive' and Rank 10 represents 'the least attractive') - <img src=""${e://Field/url.6.URL}"" width=""250"" height=""250"" />","Ranking

Here are all 10 selfies submitted by Prolific participants. Please rank them according to their attractiveness. (Rank 1 represents 'the most attractive' and Rank 10 represents 'the least attractive') - <img src=""${e://Field/url.7.URL}"" width=""250"" height=""250"" />","Ranking

Here are all 10 selfies submitted by Prolific participants. Please rank them according to their attractiveness. (Rank 1 represents 'the most attractive' and Rank 10 represents 'the least attractive') - <img src=""${e://Field/url.8.URL}"" width=""250"" height=""250""/>","Ranking

Here are all 10 selfies submitted by Prolific participants. Please rank them according to their attractiveness. (Rank 1 represents 'the most attractive' and Rank 10 represents 'the least attractive') - <img src=""${e://Field/url.9.URL}"" width=""250"" height=""250"" />","<img src=""${e://Field/url.0.URL}""  width=""250"" height=""250""/> - What rank do you advise this participant to guess?","<img src=""${e://Field/url.1.URL}"" width=""250"" height=""250""/> - What rank do you advise this participant to guess?","<img src=""${e://Field/url.2.URL}"" width=""250"" height=""250""/> - What rank do you advise this participant to guess?","<img src=""${e://Field/url.3.URL}"" width=""250"" height=""250"" /> - What rank do you advise this participant to guess?","<img src=""${e://Field/url.4.URL}"" width=""250"" height=""250"" /> - What rank do you advise this participant to guess?","<img src=""${e://Field/url.5.URL}"" width=""250"" height=""250"" /> - What rank do you advise this participant to guess?","<img src=""${e://Field/url.6.URL}"" width=""250"" height=""250"" /> - What rank do you advise this participant to guess?","<img src=""${e://Field/url.7.URL}"" width=""250"" height=""250"" /> - What rank do you advise this participant to guess?","<img src=""${e://Field/url.8.URL}"" width=""250"" height=""250""/> - What rank do you advise this participant to guess?","<img src=""${e://Field/url.9.URL}"" width=""250"" height=""250"" /> - What rank do you advise this participant to guess?","Thank you again for taking the time to help us with our research!

If you have earned a bonus for this study, you will receive it within the next 14 days.

Do you have any feedback or comments for the researchers? (optional)",PROLIFIC_PID,Condition,groupnr,url.0.URL,url.1.URL,url.2.URL,url.3.URL,url.4.URL,url.5.URL,url.6.URL,url.7.URL,url.8.URL,url.9.URL
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1213411184""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID104_2""}","{""ImportId"":""QID104_3""}","{""ImportId"":""QID104_4""}","{""ImportId"":""QID104_5""}","{""ImportId"":""QID104_6""}","{""ImportId"":""QID104_7""}","{""ImportId"":""QID104_8""}","{""ImportId"":""QID104_9""}","{""ImportId"":""QID104_10""}","{""ImportId"":""1_QID88""}","{""ImportId"":""2_QID88""}","{""ImportId"":""3_QID88""}","{""ImportId"":""4_QID88""}","{""ImportId"":""5_QID88""}","{""ImportId"":""6_QID88""}","{""ImportId"":""7_QID88""}","{""ImportId"":""8_QID88""}","{""ImportId"":""9_QID88""}","{""ImportId"":""10_QID88""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Condition""}","{""ImportId"":""groupnr""}","{""ImportId"":""url.0.URL""}","{""ImportId"":""url.1.URL""}","{""ImportId"":""url.2.URL""}","{""ImportId"":""url.3.URL""}","{""ImportId"":""url.4.URL""}","{""ImportId"":""url.5.URL""}","{""ImportId"":""url.6.URL""}","{""ImportId"":""url.7.URL""}","{""ImportId"":""url.8.URL""}","{""ImportId"":""url.9.URL""}"
2023-05-01 07:18:50,2023-05-01 07:21:00,IP Address,24.60.2.248,100,129,True,2023-05-01 07:21:01,R_2bO9wmtpWJYEDkt,,,,,42.3912,-71.0882,anonymous,EN,I agree to participate.,55ad1d55fdf99b4c8f9941d4,38,Female,White or Caucasian,Bachelor’s degree,6,8,7,5,3,2,1,9,4,10,,,5th rank,,,,,,,,,55ad1d55fdf99b4c8f9941d4,Accurate,19,https://files.dhagmann.com/qualtrics/selfies/F_DOwPkAjsVUA7pQZ.png,https://files.dhagmann.com/qualtrics/selfies/F_SE3qYKxgbtOGDVD.png,https://files.dhagmann.com/qualtrics/selfies/F_9slh31DfkNT7Oh3.png,https://files.dhagmann.com/qualtrics/selfies/F_SN1CWjSfGlcIMsV.png,https://files.dhagmann.com/qualtrics/selfies/F_C2DFx7l8HSIdpMB.png,https://files.dhagmann.com/qualtrics/selfies/F_DB2MdxBaNy36Zvb.png,https://files.dhagmann.com/qualtrics/selfies/F_6n8yU5rvBdx8mWJ.png,https://files.dhagmann.com/qualtrics/selfies/F_Qb9ajJaV29FlfHj.png,https://files.dhagmann.com/qualtrics/selfies/F_6mRsw6XyeMbrRuh.png,https://files.dhagmann.com/qualtrics/selfies/F_DcawXnxN2Pu1s6B.png
2023-05-01 07:23:08,2023-05-01 07:31:47,IP Address,50.239.108.66,100,518,True,2023-05-01 07:31:47,R_2QDQBiAZjeVlzAV,,,,,33.7838,-84.4455,anonymous,EN,I agree to participate.,644bd8fd69821b22a1ed0b7c,57,Male,Other,High school diploma or GED,9,4,5,7,5,8,9,5,6,5,,,,3rd rank,,,,,,,,644bd8fd69821b22a1ed0b7c,Likable,1,https://files.dhagmann.com/qualtrics/selfies/F_1N4il3f9nlInp2a.png,https://files.dhagmann.com/qualtrics/selfies/F_1QLxIxugpe3ReV0.png,https://files.dhagmann.com/qualtrics/selfies/F_1KlmPWco7yo9h1L.png,https://files.dhagmann.com/qualtrics/selfies/F_1IygysIWEzMiCyp.png,https://files.dhagmann.com/qualtrics/selfies/F_1FnbFkmOxfv1Znv.png,https://files.dhagmann.com/qualtrics/selfies/F_1LcKk6QK4gIlwpS.png,https://files.dhagmann.com/qualtrics/selfies/F_1EYjR4qjVDKj7mz.png,https://files.dhagmann.com/qualtrics/selfies/F_12JV7zcZsUeAkNI.png,https://files.dhagmann.com/qualtrics/selfies/F_12rLDBLowOuKG2d.png,https://files.dhagmann.com/qualtrics/selfies/F_1QsVprSgmipnTXa.png
2023-05-01 07:26:44,2023-05-01 07:36:38,IP Address,173.92.117.44,100,594,True,2023-05-01 07:36:39,R_3NDJ7Gj0LtSnVuu,,,,,34.9347,-79.7672,anonymous,EN,I agree to participate.,5dbd861fbd08a92c5570b2cd,41,Female,White or Caucasian,Bachelor’s degree,8,2,1,3,5,6,4,7,10,9,,,,,,,,6th rank,,,,5dbd861fbd08a92c5570b2cd,Accurate,17,https://files.dhagmann.com/qualtrics/selfies/F_3KNKMtFOl6K5kTQ.png,https://files.dhagmann.com/qualtrics/selfies/F_3PBrMZWg2ledS6E.png,https://files.dhagmann.com/qualtrics/selfies/F_3fpoQCqhnavxk0V.png,https://files.dhagmann.com/qualtrics/selfies/F_3OdjcZTwp85swwu.png,https://files.dhagmann.com/qualtrics/selfies/F_3MDrkCWqrn20QrE.png,https://files.dhagmann.com/qualtrics/selfies/F_3iR6nmcIs3N6lbZ.png,https://files.dhagmann.com/qualtrics/selfies/F_3fjBNr5YrkSrSP3.png,https://files.dhagmann.com/qualtrics/selfies/F_3RxRlY3iivY4cYe.png,https://files.dhagmann.com/qualtrics/selfies/F_3ey3IwDsQAfRZnr.png,https://files.dhagmann.com/qualtrics/selfies/F_3P7QMxuPXNg4nVd.png
2023-05-01 07:37:31,2023-05-01 07:39:00,IP Address,24.127.92.158,100,88,True,2023-05-01 07:39:00,R_3hxRN1VB97YQ9Qw,,,,,42.5836,-83.4989,anonymous,EN,I agree to participate.,628667709c7e31f9018e77d5,26,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",4,5,2,3,5,4,5,6,5,6,,,,,,,,,,,none,628667709c7e31f9018e77d5,Likable,9,https://files.dhagmann.com/qualtrics/selfies/F_Y084SesxxMFrK1j.png,https://files.dhagmann.com/qualtrics/selfies/F_UaS1pbP6buG9R5v.png,https://files.dhagmann.com/qualtrics/selfies/F_W8a4AC7Hcq5au7n.png,https://files.dhagmann.com/qualtrics/selfies/F_djxWmICEq9IbIgF.png,https://files.dhagmann.com/qualtrics/selfies/F_Rldzxw5991JTtdL.png,https://files.dhagmann.com/qualtrics/selfies/F_XsKLe8K7s6v7XFL.png,https://files.dhagmann.com/qualtrics/selfies/F_bDflVSCwQ5T32YV.png,https://files.dhagmann.com/qualtrics/selfies/F_cGwjIv1Me8Foy6R.png,https://files.dhagmann.com/qualtrics/selfies/F_cu6ncOGl0003Vdf.png,https://files.dhagmann.com/qualtrics/selfies/F_aWOW8dtf77NGDUR.png
2023-05-01 07:36:55,2023-05-01 07:39:28,IP Address,24.126.12.150,100,152,True,2023-05-01 07:39:28,R_1Iiy8Rk7wLxiqU6,,,,,39.2891,-76.5583,anonymous,EN,I agree to participate.,5f46b13c9603e305ad51dc7f,38,Female,White or Caucasian,Associates or technical degree,5,1,6,7,2,4,10,9,3,8,,,,7th rank,,,,,,,,5f46b13c9603e305ad51dc7f,Accurate,17,https://files.dhagmann.com/qualtrics/selfies/F_3fjBNr5YrkSrSP3.png,https://files.dhagmann.com/qualtrics/selfies/F_3fpoQCqhnavxk0V.png,https://files.dhagmann.com/qualtrics/selfies/F_3PBrMZWg2ledS6E.png,https://files.dhagmann.com/qualtrics/selfies/F_3P7QMxuPXNg4nVd.png,https://files.dhagmann.com/qualtrics/selfies/F_3OdjcZTwp85swwu.png,https://files.dhagmann.com/qualtrics/selfies/F_3MDrkCWqrn20QrE.png,https://files.dhagmann.com/qualtrics/selfies/F_3RxRlY3iivY4cYe.png,https://files.dhagmann.com/qualtrics/selfies/F_3ey3IwDsQAfRZnr.png,https://files.dhagmann.com/qualtrics/selfies/F_3KNKMtFOl6K5kTQ.png,https://files.dhagmann.com/qualtrics/selfies/F_3iR6nmcIs3N6lbZ.png
2023-05-01 07:39:48,2023-05-01 07:41:46,IP Address,73.210.79.188,100,117,True,2023-05-01 07:41:47,R_vcr4egrSKuu39V7,,,,,41.9778,-88.2018,anonymous,EN,I agree to participate.,5cbfd2c776a6810001fd29b2,29,Male,White or Caucasian,Bachelor’s degree,9,10,2,8,4,3,6,1,5,7,,,,,,,,,,7th rank,,5cbfd2c776a6810001fd29b2,Accurate,9,https://files.dhagmann.com/qualtrics/selfies/F_cu6ncOGl0003Vdf.png,https://files.dhagmann.com/qualtrics/selfies/F_XsKLe8K7s6v7XFL.png,https://files.dhagmann.com/qualtrics/selfies/F_Y084SesxxMFrK1j.png,https://files.dhagmann.com/qualtrics/selfies/F_W8a4AC7Hcq5au7n.png,https://files.dhagmann.com/qualtrics/selfies/F_aWOW8dtf77NGDUR.png,https://files.dhagmann.com/qualtrics/selfies/F_bDflVSCwQ5T32YV.png,https://files.dhagmann.com/qualtrics/selfies/F_UaS1pbP6buG9R5v.png,https://files.dhagmann.com/qualtrics/selfies/F_cGwjIv1Me8Foy6R.png,https://files.dhagmann.com/qualtrics/selfies/F_Rldzxw5991JTtdL.png,https://files.dhagmann.com/qualtrics/selfies/F_djxWmICEq9IbIgF.png
2023-05-01 07:41:33,2023-05-01 07:44:04,IP Address,24.3.169.129,100,151,True,2023-05-01 07:44:05,R_2RO3eHEFyq0NfQz,,,,,40.5036,-80.1125,anonymous,EN,I agree to participate.,62d56e14e10c8af9b206138e,41,Male,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",8,2,4,7,5,3,1,10,6,9,,,,5th rank,,,,,,,,62d56e14e10c8af9b206138e,Likable,6,https://files.dhagmann.com/qualtrics/selfies/F_3Rg2AjlBD9J7Epr.png,https://files.dhagmann.com/qualtrics/selfies/F_3GpQNZQJOly5LsW.png,https://files.dhagmann.com/qualtrics/selfies/F_3PuXIED1rTFJX9h.png,https://files.dhagmann.com/qualtrics/selfies/F_3R8Dr7UXmFs86vA.png,https://files.dhagmann.com/qualtrics/selfies/F_3J2WiCj4IjCRx9J.png,https://files.dhagmann.com/qualtrics/selfies/F_3Gdr9o0jIvHrGWs.png,https://files.dhagmann.com/qualtrics/selfies/F_3ESxU6eaq94BEod.png,https://files.dhagmann.com/qualtrics/selfies/F_3GdFAV4fIewANfW.png,https://files.dhagmann.com/qualtrics/selfies/F_3QK7h1gq6NJYf86.png,https://files.dhagmann.com/qualtrics/selfies/F_3EiETVaiV7uiVLw.png
2023-05-01 07:42:18,2023-05-01 07:45:50,IP Address,136.53.55.37,100,211,True,2023-05-01 07:45:50,R_0IK53Fmd3l4pPLX,,,,,34.7315,-86.5654,anonymous,EN,I agree to participate.,6229ee11f6b5405956544966,61,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",5,9,1,3,6,4,8,7,10,2,,,,,,,,8th rank,,,"No problems, thanks!",6229ee11f6b5405956544966,Likable,15,https://files.dhagmann.com/qualtrics/selfies/F_2eOQV6PXKbOAo65.png,https://files.dhagmann.com/qualtrics/selfies/F_2fy2vQzo7RiLI29.png,https://files.dhagmann.com/qualtrics/selfies/F_2bIBgJo4SNw0OGt.png,https://files.dhagmann.com/qualtrics/selfies/F_2xY7c4yHNgf5XQr.png,https://files.dhagmann.com/qualtrics/selfies/F_2flbSZ3386sePEL.png,https://files.dhagmann.com/qualtrics/selfies/F_2ePD2jGJu5LQOIU.png,https://files.dhagmann.com/qualtrics/selfies/F_2dG79BQ86EYC6xy.png,https://files.dhagmann.com/qualtrics/selfies/F_2bNMbNUHwOsjSfQ.png,https://files.dhagmann.com/qualtrics/selfies/F_2tm9Iv45wzDeg7l.png,https://files.dhagmann.com/qualtrics/selfies/F_2wh2IDjsftRJb8j.png
