StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID2,QID3,QID21_First Click,QID21_Last Click,QID21_Page Submit,QID21_Click Count,CT&PS4,CT&PS6,CT&PS8,EI1,EI4,EI5,EI9,S&C4,S&C6,S&C8,Guess,Guess_L,Age,Gender,Ethnicity,Education,Comments,SC0,PROLIFIC_PID,default,Score
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This is a consent form. Please read and click below to continue.

You are being asked to take part in a research study on decision-making. Your participation is voluntary and is greatly appreciated. If you agree to be in this study, you will be asked to complete a survey asking you questions about your opinions or questions that have a correct answer. This survey will take approximately 7 minutes to complete, or as described in the posting. You may withdraw your consent to participate at any time and with no penalty by closing this browser window. Additional details of this study are described below.


Eligibility: All U.S. residents over the age of 18 are eligible to participate. However, this survey cannot be taken on a mobile device. You may only participate in this study once; after the first attempt, any additional attempts at this survey will not be approved or compensated.


Risk & Benefits: The risks associated with participation in this study are no greater than those encountered in daily life. There may be no direct benefits to participation, except for the enjoyment of contributing to research.


Compensation: You will receive a fixed payment for completing this survey as described in the posting (approximately $6/hr). Additional compensation may be available in the experiment, depending on the choices that you make. All such bonus opportunities will be explained to you during the study, and you will receive compensation paid via the survey platform shortly after completion of the study. Bonus earnings, if any, may take a few days to be sent.


Confidentiality: Your Participant ID (such as your MTurk or Prolific ID) will be recorded to facilitate compensating you for your participation. This ID will not be linked to your identity. You will never be asked to provide your name or other personally identifying information. The data may be made publicly available following conclusion of the study. In that case, your Participant ID will be removed such that no identifier can link you to your decisions. We will not ask you for any personally identifiable information and cannot link your Participant ID to your identity.


Withdrawal Policy: You may withdraw from this study at any time and with no penalty. To withdraw from this study, close the browser window and return the task via the participation platform.


Contact information: This study is being conducted by David Hagmann (Hong Kong University of Science and Technology). Please contact David (hagmann@ust.hk) with any questions or feedback. The study has been approved by the Internal Review Board at HKUST.


Agreement to Participate: By clicking to continue, you are indicating that you have read this consent form, that you are eligible to participate, and that you voluntarily agree to participate in the study. If you do not wish to participate in this study, you may close the browser window. You may withdraw your consent to participate at any time by closing the browser window and exiting the study.",Please make sure that your Prolific ID is recorded correctly,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"[Critical Thinking & Problem Solving: #1] 
Can you guess the words and expressions?





 

Your Answer:","[Critical Thinking & Problem Solving: #2] 
Can you guess the words and expressions?





 

Your Answer:","[Critical Thinking & Problem Solving: #3] 
Can you guess the words and expressions?





 

Your Answer:","[Emotional Intelligence: #1] 
Please examine the eyes of the individual in the image and try to identify their emotions. Can you predict what this person is feeling based on their facial expression?","[Emotional Intelligence: #2] 
Can you predict what this person is feeling based on their facial expression?","[Emotional Intelligence: #3]  
Can you predict what this person is feeling based on their facial expression?","[Emotional Intelligence: #4] 
Can you predict what this person is feeling based on their facial expression?","[Social & Communication: #1] 
What is an essential element of effective public speaking?","[Social & Communication: #2] 
Why is cultural awareness important in communication?","[Social & Communication: #3] 
Imagine that your team lacks anyone skilled in data analysis, and your boss tasks you with analyzing visitor behavior on the company's website to the best of your ability. A week later, you ask a colleague from a different team to provide feedback on your work so that you can improve it before presenting it to your boss.


Upon reviewing your analysis, your colleague says, ""This makes no sense. Have you ever worked with data before?""


How would you respond to this feedback?","Advice
Between now and the follow-up survey, we will invite other participants who get to see your score on the test. They will be asked to give you advice on which of the two groups to compete against.

We would like to ask you about your group preference for the competition, but please note that this initial choice is simply to gain insight into your preferences. By default, we have pre-selected the High Performer Group, but you may change your selection if you wish. You will have the opportunity to make a final decision on your competitor choice after receiving advice from another participant in a few days.","Advice
Between now and the follow-up survey, we will invite other participants who get to see your score on the test. They will be asked to give you advice on which of the two groups to compete against.

We would like to ask you about your group preference for the competition, but please note that this initial choice is simply to gain insight into your preferences. By default, we have pre-selected the Low Performer Group, but you are free to change your selection if you wish. You will have the opportunity to make a final decision on your competitor choice after receiving advice from another participant in a few days.",Age,Gender,Ethnicity,Education,"Thank you for participating in this study and helping us with our research!

 

We will send you an invitation for a follow-up survey within the next week. We hope you will be able to return.

 

Do you have any comments for the researchers? (optional)",Score,PROLIFIC_PID,default,Score
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID21_FIRST_CLICK""}","{""ImportId"":""QID21_LAST_CLICK""}","{""ImportId"":""QID21_PAGE_SUBMIT""}","{""ImportId"":""QID21_CLICK_COUNT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID52""}","{""ImportId"":""QID57""}","{""ImportId"":""QID59""}","{""ImportId"":""QID62""}","{""ImportId"":""QID24""}","{""ImportId"":""QID78""}","{""ImportId"":""QID1214363063_TEXT""}","{""ImportId"":""QID1214363064""}","{""ImportId"":""QID1214363065""}","{""ImportId"":""QID1214363066""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""SC_57k1Pc5tfThcqoe""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""default""}","{""ImportId"":""Score""}"
2024-05-02 05:25:40,2024-05-02 05:31:18,Survey Preview,,100,338,True,2024-05-02 05:31:20,R_4f96dsPvdjKqxVa,,,,,22.2908,114.1501,preview,EN,I agree to participate.,,0.781,119.08,300.113,13,once in a blue moon,painless operation,small talk,playful,worried,uneasy,doubtful,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",Compete against the High Performer Group,,23,Female,Black or African American,High school diploma or GED,test,10,,,10
2024-05-16 03:01:39,2024-05-16 03:09:28,Survey Preview,,100,469,True,2024-05-16 03:09:29,R_4Pt7Jib0H377wIc,,,,,22.2908,114.1501,preview,EN,I agree to participate.,,0.83,38.941,300.061,10,once in a blue moon,painless operation,small talk,playful,worried,uneasy,doubtful,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",Compete against the High Performer Group,,23,Female,American Indian/Native American or Alaska Native,"Some college, but no degree",,10,,High,10
2024-05-16 05:37:11,2024-05-16 05:49:46,Survey Preview,,100,755,True,2024-05-16 05:49:47,R_4VF4ZasGNvbpqma,,,,,22.2908,114.1501,preview,EN,I agree to participate.,,5.128,18.694,378.56,5,once in a blue moon,painless operation,small talk,,,,,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",Compete against the High Performer Group,,23,Female,Other,High school diploma or GED,,6,,High,6
2024-05-16 10:17:11,2024-05-16 10:25:00,IP Address,100.11.67.236,100,468,True,2024-05-16 10:25:01,R_5Qn922hicpUQgC3,,,,,40.0711,-75.2051,anonymous,EN,I agree to participate.,604db6324496c57afe822770,3.513,276.885,301.384,15,once in a blue moon,Over the top,talk,playful,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",,Compete against the Low Performer Group,45,Female,Asian,Bachelor’s degree,,5,604db6324496c57afe822770,Low,5
2024-05-16 10:18:37,2024-05-16 10:25:29,IP Address,66.58.150.113,100,411,True,2024-05-16 10:25:30,R_8f38suWhRHbfCq5,,,,,61.0988,-149.8077,anonymous,EN,I agree to participate.,66462e5a0a965c4190374d88,3.801,229.681,300.017,11,once in a blue moon,operation,Small Talk,irritated,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",Compete against the Low Performer Group,,28,Female,White or Caucasian,Bachelor’s degree,,5,66462e5a0a965c4190374d88,High,5
2024-05-16 10:19:53,2024-05-16 10:27:21,IP Address,174.110.179.15,100,447,True,2024-05-16 10:27:22,R_51t6U3e30I406ow,,,,,34.7523,-79.4566,anonymous,EN,I agree to participate.,66462d867fe1025286613561,3.581,265.117,300.12,19,Once in a Blue Moon,Operation,Small Talk,irritated,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",,Compete against the High Performer Group,21,Male,White or Caucasian,Associates or technical degree,,4,66462d867fe1025286613561,Low,4
2024-05-16 10:21:07,2024-05-16 10:27:58,IP Address,76.110.147.139,100,410,True,2024-05-16 10:27:59,R_27NykwuNBu5pH83,,,,,25.8962,-80.1541,anonymous,EN,I agree to participate.,5ceef17d410beb0001e40023,6.575,279.141,300.072,37,once moon,operation,talk,playful,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",,Compete against the Low Performer Group,29,Female,Other,Associates or technical degree,,4,5ceef17d410beb0001e40023,Low,4
2024-05-16 10:41:52,2024-05-16 10:51:09,IP Address,68.195.58.205,100,556,True,2024-05-16 10:51:10,R_82oaztmEDzDQUQj,,,,,40.828,-73.8685,anonymous,EN,I agree to participate.,614aa4f77490094923069e75,32.287,258.603,300.069,56,Once in a blue moon,Painless oparation,Small talk,comforting,worried,fantasizing,doubtful,Speaking confidently,To understand and respect cultural differences,"""I appreciate your honesty but let's ignore what's bad and focus on what's good. What did you like about it?""",Compete against the High Performer Group,,22,Male,Other,"Some college, but no degree",,5,614aa4f77490094923069e75,High,5
2024-05-16 10:48:40,2024-05-16 10:56:32,IP Address,23.31.194.33,100,471,True,2024-05-16 10:56:32,R_5DZvRu9nKai76Ci,,,,,39.037,-77.0412,anonymous,EN,I agree to participate.,615a246b9484d07bb01d0724,15.164,222.317,300.046,11,once in a blue moon,operation,small talk,playful,worried,fantasizing,playful,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",Compete against the High Performer Group,,44,Male,Black or African American,Bachelor’s degree,no,7,615a246b9484d07bb01d0724,High,7
