StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1213411881,QID10,bet,likable,warm,friendly,well-intentioned,good-natured,trustworthy,sincere,QID14,PROLIFIC_PID,advice.0.finalRank,rank
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This is a consent form. Please read and click below to continue.

You are being asked to take part in a research study on decision-making. Your participation is voluntary and is greatly appreciated. If you agree to be in this study, you will be asked to complete a survey asking you questions about your opinions or questions that have a correct answer. This survey will take approximately 15 minutes to complete, or as described in the posting. You may withdraw your consent to participate at any time and with no penalty by closing this browser window. Additional details of this study are described below.



Eligibility: All U.S. residents over the age of 18 are eligible to participate. However, this survey cannot be taken on a mobile device. You may only participate in this study once; after the first attempt, any additional attempts at this survey will not be approved or compensated.

Risk & Benefits: The risks associated with participation in this study are no greater than those encountered in daily life. There may be no direct benefits to participation, except for the enjoyment of contributing to research.





Compensation: You will receive a fixed payment for completing this survey as described in the posting (approximately $6/hr). Additional compensation may be available in the experiment, depending on the choices that you make. All such bonus opportunities will be explained to you during the study, and you will receive compensation paid via the survey platform shortly after completion of the study. Bonus earnings, if any, may take a few days to be sent.



Confidentiality: Your Participant ID (such as your MTurk or Prolific ID) will be recorded to facilitate compensating you for your participation. This ID will not be linked to your identity. You will never be asked to provide your name or other personally identifying information. The data may be made publicly available following conclusion of the study. In that case, your Participant ID will be removed such that no identifier can link you to your decisions. We will not ask you for any personally identifiable information and cannot link your Participant ID to your identity.



Withdrawal Policy: You may withdraw from this study at any time and with no penalty. To withdraw from this study, close the browser window and return the task via the participation platform.



Contact information: This study is being conducted by David Hagmann (Hong Kong University of Science and Technology). Please contact David (hagmann@ust.hk) with any questions or feedback. The study has been approved by the Internal Review Board at HKUST.



Agreement to Participate: By clicking to continue, you are indicating that you have read this consent form, that you are eligible to participate, and that you voluntarily agree to participate in the study. If you do not wish to participate in this study, you may close the browser window. You may withdraw your consent to participate at any time by closing the browser window and exiting the study.",Please make sure that your Prolific ID is recorded correctly,"Your Decision
How attractive do you think you rank, relative to the other participants?",How likeable do you think that participant is?,How warm do you think that participant is?,How friendly do you think that participant is?,How well-intentioned do you think that participant is?,How good-natured do you think that participant is?,How trustworthy do you think that participant is?,How sincere do you think that participant is?,"Thank you again for taking the time to help us with our research!

If your guess is correct, you will receive the corresponding bonus payment within the next 14 days.

Do you have any feedback or comments for the researchers? (optional)",PROLIFIC_PID,advice.0.finalRank,rank
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1213411881""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID16""}","{""ImportId"":""QID21""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""advice.0.finalRank""}","{""ImportId"":""rank""}"
2023-05-06 08:05:49,2023-05-06 08:07:04,IP Address,68.0.242.88,100,75,True,2023-05-06 08:07:05,R_1NmNOrR0QSSBWRX,,,,,41.6047,-72.8813,anonymous,EN,I agree to participate.,57509b61d6edf00006ff7fcb,7th rank,Very likeable,Very warm,Very friendly,Very well-intentioned,Very good-natured,Very trustworthy,Very sincere,,57509b61d6edf00006ff7fcb,8,7
2023-05-06 08:05:59,2023-05-06 08:07:12,IP Address,69.116.171.80,100,72,True,2023-05-06 08:07:12,R_3PTz8dJJu1MlSql,,,,,41.0558,-74.2804,anonymous,EN,I agree to participate.,610059721070d369a4672eb0,5th rank,Very likeable,Very warm,Very friendly,Somewhat well-intentioned,Very good-natured,Somewhat trustworthy,Somewhat sincere,,610059721070d369a4672eb0,3,1
2023-05-06 08:06:27,2023-05-06 08:07:38,IP Address,174.247.180.55,100,70,True,2023-05-06 08:07:38,R_1CJ6MhKJgQ5CYWY,,,,,45.5073,-122.6929,anonymous,EN,I agree to participate.,6430c599f0887cb443f8da9a,7th rank,Extremely likeable,Extremely warm,Extremely friendly,Extremely well-intentioned,Extremely good-natured,Extremely trustworthy,Extremely sincere,,6430c599f0887cb443f8da9a,3,7
2023-05-06 08:06:29,2023-05-06 08:07:50,IP Address,216.164.241.105,100,80,True,2023-05-06 08:07:50,R_8p2vcRCW2dBl2sF,,,,,40.5885,-75.4642,anonymous,EN,I agree to participate.,5d94d2ab9ac1cb001775fac2,7th rank,Somewhat likeable,Somewhat warm,Somewhat friendly,Somewhat well-intentioned,Somewhat good-natured,Somewhat trustworthy,Somewhat sincere,,5d94d2ab9ac1cb001775fac2,5,7
2023-05-06 08:06:51,2023-05-06 08:08:36,IP Address,71.8.83.103,100,104,True,2023-05-06 08:08:36,R_2Y2DnXypN2FHkkl,,,,,33.2663,-86.902,anonymous,EN,I agree to participate.,574450f63fdc69000e09555d,5th rank,Very likeable,Very warm,Very friendly,Very well-intentioned,Very good-natured,Somewhat trustworthy,Somewhat sincere,,574450f63fdc69000e09555d,7,2
2023-05-06 08:06:31,2023-05-06 08:09:04,IP Address,73.67.3.138,100,153,True,2023-05-06 08:09:04,R_2SryiLUEse2Pj1f,,,,,39.0715,-94.357,anonymous,EN,I agree to participate.,5ede3d2ef7c9f9068776c4d2,5th rank,Somewhat likeable,Somewhat warm,Very friendly,Somewhat well-intentioned,Very good-natured,Slightly trustworthy,Somewhat sincere,,5ede3d2ef7c9f9068776c4d2,6,6
2023-05-06 08:09:05,2023-05-06 08:10:09,IP Address,76.178.121.95,100,63,True,2023-05-06 08:10:09,R_3HvICwv7AIQdo1R,,,,,34.1438,-117.2548,anonymous,EN,I agree to participate.,5ffb8c5b60571908f3ac19fa,7th rank,Somewhat likeable,Somewhat warm,Slightly friendly,Somewhat well-intentioned,Somewhat good-natured,Somewhat trustworthy,Very sincere,,5ffb8c5b60571908f3ac19fa,8,7
2023-05-06 08:10:09,2023-05-06 08:12:46,IP Address,97.100.45.148,100,156,True,2023-05-06 08:12:46,R_1nOU2OK31lBNSMy,,,,,28.6623,-81.4136,anonymous,EN,I agree to participate.,63e40d7b1a88578e3c993478,7th rank,Very likeable,Somewhat warm,Somewhat friendly,Very well-intentioned,Very good-natured,Very trustworthy,Very sincere,,63e40d7b1a88578e3c993478,5,7
