StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID2,QID3,QID21_First Click,QID21_Last Click,QID21_Page Submit,QID21_Click Count,QID10,QID11,QID12,QID13,QID14,QID15,QID16,QID17,QID18,QID19,Age,Gender,Ethnicity,Education,Comments,SC0,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This is a consent form. Please read and click below to continue.

You are being asked to take part in a research study on decision-making. Your participation is voluntary and is greatly appreciated. If you agree to be in this study, you will be asked to complete a survey asking you questions about your opinions or questions that have a correct answer. This survey will take approximately 7 minutes to complete, or as described in the posting. You may withdraw your consent to participate at any time and with no penalty by closing this browser window. Additional details of this study are described below.


Eligibility: All U.S. residents over the age of 18 are eligible to participate. However, this survey cannot be taken on a mobile device. You may only participate in this study once; after the first attempt, any additional attempts at this survey will not be approved or compensated.


Risk & Benefits: The risks associated with participation in this study are no greater than those encountered in daily life. There may be no direct benefits to participation, except for the enjoyment of contributing to research.


Compensation: You will receive a fixed payment for completing this survey as described in the posting (approximately $6/hr). Additional compensation may be available in the experiment, depending on the choices that you make. All such bonus opportunities will be explained to you during the study, and you will receive compensation paid via the survey platform shortly after completion of the study. Bonus earnings, if any, may take a few days to be sent.


Confidentiality: Your Participant ID (such as your MTurk or Prolific ID) will be recorded to facilitate compensating you for your participation. This ID will not be linked to your identity. You will never be asked to provide your name or other personally identifying information. The data may be made publicly available following conclusion of the study. In that case, your Participant ID will be removed such that no identifier can link you to your decisions. We will not ask you for any personally identifiable information and cannot link your Participant ID to your identity.


Withdrawal Policy: You may withdraw from this study at any time and with no penalty. To withdraw from this study, close the browser window and return the task via the participation platform.


Contact information: This study is being conducted by David Hagmann (Hong Kong University of Science and Technology). Please contact David (hagmann@ust.hk) with any questions or feedback. The study has been approved by the Internal Review Board at HKUST.


Agreement to Participate: By clicking to continue, you are indicating that you have read this consent form, that you are eligible to participate, and that you voluntarily agree to participate in the study. If you do not wish to participate in this study, you may close the browser window. You may withdraw your consent to participate at any time by closing the browser window and exiting the study.",Please make sure that your Prolific ID is recorded correctly,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 1

If a circle has a radius of 18 feet, what is its circumference (to the nearest whole foot)?","Question 2



What is the equation for the axis of symmetry in the attached parabola?","Question 3



(x5)3 = ___","Question 4


The sum of two numbers is 19 and their difference is 7. What is the larger of the two numbers?","Question 5



What is the area of the circle with center at point A if the distance between X and Y is 1.62 and points X, A, and Y lie on a straight line?



Round your answers to 2 decimal places.","Question 6

If x = -2 and y = 4, find the value of x(x + 3) - 2y2","Question 7

Which of the following is the mode in this series of numbers: 2, 2, 6, 6, 6, 6, 8, 8, 8, 10, 10, 12","Question 8



This diagram shows parallelogram ABCD. What is the measure of angle A if angle D measures 117°?","Question 9


What is the slope of the graph of the equation 2y-6x = 14?","Question 10


(x + 6)(4x + 8) = ____",Age,Gender,Ethnicity,Education,"Thank you for participating in this study and helping us with our research!


Do you have any comments for the researchers? (optional)",Score,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID21_FIRST_CLICK""}","{""ImportId"":""QID21_LAST_CLICK""}","{""ImportId"":""QID21_PAGE_SUBMIT""}","{""ImportId"":""QID21_CLICK_COUNT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID1214363063_TEXT""}","{""ImportId"":""QID1214363064""}","{""ImportId"":""QID1214363065""}","{""ImportId"":""QID1214363066""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""SC_3f4zXf3zuZBpGUS""}","{""ImportId"":""PROLIFIC_PID""}"
2023-11-30 11:19:18,2023-11-30 11:24:47,IP Address,47.204.210.191,100,328,True,2023-11-30 11:24:48,R_3erXhfeZACvGG1D,,,,,28.1758,-82.4193,anonymous,EN,I agree to participate.,655f8bb245eac61a793444a5,13.431,261.33,300.117,10,113 feet,y = -2,x15,11,2.060154,-34,6,63°,3,4x2 + 32x + 48,22,Female,Asian,Bachelor’s degree,,7,655f8bb245eac61a793444a5
2023-11-30 11:19:15,2023-11-30 11:26:40,IP Address,174.193.56.64,100,445,True,2023-11-30 11:26:41,R_3ISqz0g2VqBKAJv,,,,,38.7169,-121.3677,anonymous,EN,I agree to participate.,655a84e47d5d2788acd87a33,65.876,275.203,300.124,14,113 feet,x - 2 = y,x15,13,2.06,14,8,117°,-6,4x2 + 16x + 48,70,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,4,655a84e47d5d2788acd87a33
2023-11-30 11:30:32,2023-11-30 11:35:52,IP Address,172.113.102.173,100,320,True,2023-11-30 11:35:53,R_1mVLeVLZPOz8UCT,,,,,33.9168,-118.3432,anonymous,EN,I agree to participate.,5a4a94fef7b7bc00014e1462,2.909,286.029,300.072,20,113 feet,y = -2,x15,15,2.060154,-34,8,117°,6,4x2 + 16x + 48,34,Male,Other,Some high school or less,,3,5a4a94fef7b7bc00014e1462
2023-11-30 11:44:04,2023-11-30 11:44:04,IP Address,108.147.174.45,100,0,True,2023-11-30 11:44:05,R_3eylktAe5grP0mb,,,,,36.1962,-115.2633,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,65552b22102b85a3d9b45f71
2023-11-30 11:38:38,2023-11-30 11:44:32,IP Address,76.159.205.53,100,354,True,2023-11-30 11:44:33,R_1hThcV9iMlGjYA2,,,,,32.4154,-110.9809,anonymous,EN,I agree to participate.,5d6a49bc8c253f001c89b637,27.818,299.448,300.113,9,113 feet,x = -2,x15,13,2.06,-34,6,,,4x2 + 32x + 48,23,Male,White or Caucasian,Bachelor’s degree,A little more time to solve the problems would have made this better,8,5d6a49bc8c253f001c89b637
2023-11-30 11:42:49,2023-11-30 11:48:04,IP Address,67.82.197.156,100,315,True,2023-11-30 11:48:05,R_2ePbCqFs2UCO6FU,,,,,40.9673,-73.8418,anonymous,EN,I agree to participate.,60297b279beeb634d8781252,1.933,249.49,300.108,41,113 feet,x = -2,x15,13,2.06,-34,6,117°,3,4x2 + 32x + 48,27,Male,White or Caucasian,Bachelor’s degree,,9,60297b279beeb634d8781252
2023-11-30 11:44:08,2023-11-30 11:49:53,IP Address,108.147.174.45,100,344,True,2023-11-30 11:49:53,R_1cZzv39zVUVqo7t,,,,,36.1962,-115.2633,anonymous,EN,I agree to participate.,65552b22102b85a3d9b45f71,64.146,291.699,300.011,24,54 feet,x = -2,x15,13,5.05,-34,10,,,,32,Male,Other,Bachelor’s degree,,4,65552b22102b85a3d9b45f71
2023-11-30 11:49:49,2023-11-30 11:55:30,IP Address,173.48.155.16,100,340,True,2023-11-30 11:55:30,R_2tmXdpBbubmoezV,,,,,42.2546,-71.4564,anonymous,EN,I agree to participate.,65612a4c740b3ed5ad8cb4c2,16.613,282.761,300.018,9,108 feet,y = -2,x15,11,2.07,-34,6,117°,-3,,34,Female,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,3,65612a4c740b3ed5ad8cb4c2
