StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID2,QID3,QID21_First Click,QID21_Last Click,QID21_Page Submit,QID21_Click Count,QID10,QID11,QID12,QID13,QID14,QID15,QID16,QID17,QID18,QID19,Guess,Age,Gender,Ethnicity,Education,Comments,PROLIFIC_PID,Condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This is a consent form. Please read and click below to continue.

You are being asked to take part in a research study on decision-making. Your participation is voluntary and is greatly appreciated. If you agree to be in this study, you will be asked to complete a survey asking you questions about your opinions or questions that have a correct answer. This survey will take approximately 7 minutes to complete, or as described in the posting. You may withdraw your consent to participate at any time and with no penalty by closing this browser window. Additional details of this study are described below.


Eligibility: All U.S. residents over the age of 18 are eligible to participate. However, this survey cannot be taken on a mobile device. You may only participate in this study once; after the first attempt, any additional attempts at this survey will not be approved or compensated.


Risk & Benefits: The risks associated with participation in this study are no greater than those encountered in daily life. There may be no direct benefits to participation, except for the enjoyment of contributing to research.


Compensation: You will receive a fixed payment for completing this survey as described in the posting (approximately $6/hr). Additional compensation may be available in the experiment, depending on the choices that you make. All such bonus opportunities will be explained to you during the study, and you will receive compensation paid via the survey platform shortly after completion of the study. Bonus earnings, if any, may take a few days to be sent.


Confidentiality: Your Participant ID (such as your MTurk or Prolific ID) will be recorded to facilitate compensating you for your participation. This ID will not be linked to your identity. You will never be asked to provide your name or other personally identifying information. The data may be made publicly available following conclusion of the study. In that case, your Participant ID will be removed such that no identifier can link you to your decisions. We will not ask you for any personally identifiable information and cannot link your Participant ID to your identity.


Withdrawal Policy: You may withdraw from this study at any time and with no penalty. To withdraw from this study, close the browser window and return the task via the participation platform.


Contact information: This study is being conducted by David Hagmann (Hong Kong University of Science and Technology). Please contact David (hagmann@ust.hk) with any questions or feedback. The study has been approved by the Internal Review Board at HKUST.


Agreement to Participate: By clicking to continue, you are indicating that you have read this consent form, that you are eligible to participate, and that you voluntarily agree to participate in the study. If you do not wish to participate in this study, you may close the browser window. You may withdraw your consent to participate at any time by closing the browser window and exiting the study.",Please make sure that your Prolific ID is recorded correctly,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 1

If a circle has a radius of 18 feet, what is its circumference (to the nearest whole foot)?","Question 2



What is the equation for the axis of symmetry in the attached parabola?","Question 3



(x5)3 = ___","Question 4


The sum of two numbers is 19 and their difference is 7. What is the larger of the two numbers?","Question 5



What is the area of the circle with center at point A if the distance between X and Y is 1.62 and points X, A, and Y lie on a straight line?



Round your answers to 2 decimal places.","Question 6

If x = -2 and y = 4, find the value of x(x + 3) - 2y2","Question 7

Which of the following is the mode in this series of numbers: 2, 2, 6, 6, 6, 6, 8, 8, 8, 10, 10, 12","Question 8



This diagram shows parallelogram ABCD. What is the measure of angle A if angle D measures 117°?","Question 9


What is the slope of the graph of the equation 2y-6x = 14?","Question 10


(x + 6)(4x + 8) = ____","Don't worry if you're not sure, just take your best guess! This will help us understand how well people generally believe they do on these types of questions.",Age,Gender,Ethnicity,Education,"Thank you for participating in this study and helping us with our research!

 

We will send you an invitation for a follow-up survey within the next week. We hope you will be able to return.

 

Do you have any comments for the researchers? (optional)",PROLIFIC_PID,Condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID21_FIRST_CLICK""}","{""ImportId"":""QID21_LAST_CLICK""}","{""ImportId"":""QID21_PAGE_SUBMIT""}","{""ImportId"":""QID21_CLICK_COUNT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID1214363063_TEXT""}","{""ImportId"":""QID1214363064""}","{""ImportId"":""QID1214363065""}","{""ImportId"":""QID1214363066""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Condition""}"
2023-12-04 08:36:19,2023-12-04 08:43:07,IP Address,172.13.201.240,100,407,True,2023-12-04 08:43:07,R_1lcUfwyzi3rCl8O,,,,,30.3511,-81.506,anonymous,EN,I agree to participate.,5d1283351716480017019be7,28.555,280.981,300.122,12,54 feet,x = -2,x15,13,2.07,-34,6,63°,-3,4x2 + 16x + 48,5,32,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,5d1283351716480017019be7,Low
2023-12-04 08:42:54,2023-12-04 08:50:01,IP Address,97.100.21.204,100,426,True,2023-12-04 08:50:02,R_2ZUlJmtTHpKECfw,,,,,28.9107,-81.1957,anonymous,EN,I agree to participate.,6526ce4262f3620572961085,36.138,297.212,300.123,12,,x = -2,x15,13,,,,,,,2,40,Female,White or Caucasian,Associates or technical degree,,6526ce4262f3620572961085,Low
2023-12-04 08:48:25,2023-12-04 08:54:30,IP Address,72.83.137.206,100,364,True,2023-12-04 08:54:31,R_0fiTBoIUxOKcLWV,,,,,38.8476,-77.3281,anonymous,EN,I agree to participate.,63e534e8ae837950bc60d88b,5.051,283.172,300.201,19,113 feet,y = -2,x15,13,2.06,,,,,,4,30,Male,Asian,Bachelor’s degree,,63e534e8ae837950bc60d88b,Low
2023-12-04 08:55:26,2023-12-04 09:01:33,IP Address,172.56.67.159,100,367,True,2023-12-04 09:01:34,R_3iJ9n1yyS9WQKIF,,,,,33.7485,-84.3871,anonymous,EN,I agree to participate.,6564a92654cca521c9d81e4a,41.133,299.754,300.158,47,113 feet,x - 2 = y,x15,13,2.060154,14,8,117°,-3,4x2 + 16x + 16,5,71,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",awesome,6564a92654cca521c9d81e4a,High
2023-12-04 09:02:57,2023-12-04 09:09:09,IP Address,172.56.104.14,100,371,True,2023-12-04 09:09:10,R_3Rt5Abj3R9YaW7T,,,,,47.5364,-122.278,anonymous,EN,I agree to participate.,611422d77a092e25de5b1bca,16.453,286.912,300.016,11,113 feet,x = -2y,x15,13,5.05,-22,6,63°,-6,4x2 + 16x + 48,5,63,Female,White or Caucasian,Bachelor’s degree,These were tough - I am a long ways from having taken any math classes!!,611422d77a092e25de5b1bca,High
2023-12-04 09:09:15,2023-12-04 09:09:15,IP Address,172.56.161.103,100,0,True,2023-12-04 09:09:16,R_24iK66tZzT1wg3b,,,,,40.8271,-73.9359,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,655790bd05279f9c3e10c007,
2023-12-04 09:09:17,2023-12-04 09:15:27,IP Address,172.56.161.103,100,369,True,2023-12-04 09:15:28,R_R9aTBrhWY0e9Jhn,,,,,40.8271,-73.9359,anonymous,EN,I agree to participate.,655790bd05279f9c3e10c007,2.199,296.462,300.225,46,54 feet,x = -2,x15,13,,,,,,,4,51,Male,Black or African American,Bachelor’s degree,,655790bd05279f9c3e10c007,High
2023-12-04 09:09:38,2023-12-04 09:16:23,IP Address,172.58.124.138,100,404,True,2023-12-04 09:16:24,R_3OqaAjgE9aa1Z8X,,,,,42.3575,-83.2162,anonymous,EN,I agree to participate.,654e55aaa6d9987cb675cb2c,1.153,289.625,300.111,61,54 feet,x = -2y,x15,11,5.05,-34,6,63°,3,4x2 + 32x + 48,5,63,Male,Black or African American,Bachelor’s degree,,654e55aaa6d9987cb675cb2c,Low
